Timestamp,CPU Temperature (°C),Power (W),CPU Usage (%),Memory Usage (Mo),Memory Usage (%)
00:00:00.000,48.7,2.1,13,180,11
00:05:00.000,71.4,4.5,95,782,69
00:10:00.000,53.5,2.4,20,202,15
