Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-09 20:21:45;53,0 °C;44,0 °C;46,0 °C;43,0 °C;53,0 °C;14,8 W;10,9 W;0,0 W;8,6 %;72,3 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:47;45,0 °C;42,0 °C;52,0 °C;42,0 °C;52,0 °C;15,2 W;11,1 W;0,0 W;8,9 %;72,3 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:49;43,0 °C;55,0 °C;43,0 °C;47,0 °C;55,0 °C;13,3 W;9,5 W;0,0 W;10,9 %;72,3 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:51;43,0 °C;43,0 °C;42,0 °C;43,0 °C;49,0 °C;14,9 W;11,0 W;0,0 W;9,0 %;71,8 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:53;42,0 °C;44,0 °C;42,0 °C;43,0 °C;49,0 °C;13,5 W;9,4 W;0,0 W;9,0 %;71,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:55;42,0 °C;43,0 °C;42,0 °C;43,0 °C;59,0 °C;12,3 W;8,1 W;0,0 W;12,1 %;71,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:57;43,0 °C;43,0 °C;43,0 °C;43,0 °C;49,0 °C;13,8 W;9,8 W;0,0 W;10,3 %;71,8 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:21:59;42,0 °C;43,0 °C;42,0 °C;43,0 °C;49,0 °C;15,0 W;11,0 W;0,0 W;12,4 %;71,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:01;42,0 °C;43,0 °C;42,0 °C;43,0 °C;49,0 °C;14,8 W;10,8 W;0,0 W;8,1 %;71,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:03;42,0 °C;43,0 °C;44,0 °C;43,0 °C;49,0 °C;20,6 W;16,3 W;0,0 W;17,2 %;72,1 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:05;43,0 °C;43,0 °C;43,0 °C;43,0 °C;49,0 °C;14,1 W;9,9 W;0,0 W;9,5 %;72,2 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:07;41,0 °C;43,0 °C;42,0 °C;42,0 °C;50,0 °C;7,2 W;3,5 W;0,1 W;4,8 %;72,2 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:09;42,0 °C;42,0 °C;43,0 °C;44,0 °C;50,0 °C;13,7 W;9,6 W;0,0 W;8,6 %;72,2 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:11;45,0 °C;44,0 °C;44,0 °C;57,0 °C;57,0 °C;14,5 W;10,5 W;0,0 W;9,2 %;72,3 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:13;42,0 °C;43,0 °C;42,0 °C;43,0 °C;49,0 °C;14,1 W;10,1 W;0,0 W;8,6 %;72,3 %;0,0 °C;0,0 %;2,4 %
