Temps,Température (°C),Consommation (W),CPU (%),RAM (Mo),RAM (%)
00:00–04:59,48.7,2.1,13,180,11%
05:00–09:59,71.4,4.5,95,782,69%
10:00–14:59,53.5,2.4,20,202,15%
