Temps,Température (°C),Consommation (W),CPU (%),RAM (Mo),RAM (%)
00:00–04:59,48.9,2.1,12,182,11%
05:00–09:59,71.8,4.6,97,789,69%
10:00–14:59,54.1,2.4,19,203,15%
