Timestamp,CPU Temperature (°C),Power (W),CPU Usage (%),Memory Usage (Mo),Memory Usage (%)
00:00:00.000,50.1,2.3,15,188,13
00:05:00.000,75.4,5.1,96,820,74
00:10:00.000,54.9,2.6,23,215,17
