CPU Usage (%),CPU Temperature (°C),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
1.2,48.18,27.95,0.0,Idle,Cryptojacking,XMRig (CPU),Raspberry Pi 5,System,1
100.0,63.63,86.75,1.0,Attack,Cryptojacking,XMRig (CPU),Raspberry Pi 5,System,1
