Relative Time (s),CPU Temperature (°C),Mode,Attack Type,Attack,Host,Measurement,Run
65.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
66.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
67.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
68.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
69.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
70.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
71.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
72.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
73.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
74.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
75.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
76.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
77.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
78.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
79.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
80.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
81.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
82.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
83.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
84.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
85.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
86.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
87.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
88.0,39.92,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
89.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
90.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
91.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
