Timestamp,Relative Time (s),Voltage (V),Current (A),Power (W),Mode,Attack Type,Attack,Host,Measurement,Run
19:55:44.000,0.0,2.36,0.73,3.67,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:45.000,0.83,2.35,0.82,4.08,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:46.000,1.93,2.36,0.76,3.82,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:47.000,3.04,2.36,0.74,3.71,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:48.000,4.14,2.35,0.8,4.02,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:49.000,5.24,2.36,0.74,3.71,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:50.000,6.34,2.37,0.69,3.46,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:51.000,7.44,2.37,0.68,3.42,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:52.000,8.55,2.39,0.59,2.93,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:54.000,9.65,2.38,0.63,3.16,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:55.000,10.75,2.38,0.63,3.17,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:56.000,11.85,2.38,0.67,3.37,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:57.000,12.95,2.38,0.66,3.32,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:58.000,14.05,2.38,0.63,3.16,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:55:59.000,15.15,2.38,0.66,3.32,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:56:00.000,16.25,2.37,0.7,3.49,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:56:01.000,17.36,2.38,0.66,3.28,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:56:02.000,18.46,2.39,0.61,3.03,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:56:03.000,19.56,2.38,0.62,3.12,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:56:05.000,20.66,2.38,0.66,3.32,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:56:06.000,21.76,2.37,0.69,3.47,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:56:07.000,22.86,2.39,0.59,2.93,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
19:56:08.000,23.97,2.39,0.58,2.88,Idle,Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,ACS712,1
