Temps,Température (°C),Consommation (W),CPU (%),RAM (Mo),RAM (%)
00:00–04:59,49.8,2.2,12,179,11%
05:00–09:59,70.5,4.4,93,755,68%
10:00–14:59,53.3,2.3,20,207,15%
