Timestamp;CPU Temperature (°C);CPU Usage (%);RAM Usage (%)
01:03:00.475;42.2;3.57;44.90
01:03:01.801;42.1;16.9;46.42
01:03:03.248;42.2;54.48;51.73
01:03:04.561;42.8;4.44;52.62
01:03:05.885;43.0;4.21;52.64
01:03:07.200;43.1;4.21;52.68
01:03:08.515;43.1;2.22;52.64
01:03:09.836;43.4;3.29;52.64
01:03:11.158;43.4;9.27;52.70
01:03:12.480;43.5;2.17;52.70
01:03:13.804;43.4;3.33;52.63
01:03:15.126;43.4;4.25;52.64
01:03:16.435;43.5;2.17;52.66
01:03:17.745;43.4;6.38;52.64
01:03:19.063;43.4;3.22;52.63
01:03:20.372;43.4;2.15;52.64
01:03:21.679;43.5;2.19;52.57
01:03:22.996;43.2;2.24;52.57
01:03:24.319;43.2;3.40;52.52
01:03:25.633;43.4;2.27;52.52
01:03:26.950;43.1;2.24;52.52
01:03:28.272;43.1;5.20;52.52
01:03:29.601;43.1;3.33;52.52
01:03:30.910;43.0;3.22;52.52
01:03:32.225;43.0;1.12;52.52
01:03:33.540;43.0;2.27;52.55
01:03:34.850;43.0;2.19;52.52
01:03:36.167;43.0;7.84;52.53
01:03:37.489;42.9;4.39;52.53
01:03:38.812;42.9;4.30;52.52
01:03:40.118;42.8;1.14;52.53
01:03:41.435;42.8;3.40;52.53
01:03:42.749;42.8;7.14;52.53
01:03:44.070;42.6;3.12;52.53
01:03:45.388;42.5;4.39;52.53
01:03:46.708;42.6;3.26;52.55
01:03:48.022;42.5;1.13;52.55
01:03:49.336;42.5;3.19;52.23
01:03:50.658;42.5;2.27;52.24
01:03:51.964;42.6;3.40;52.23
01:03:53.280;42.5;4.16;52.23
01:03:54.586;42.4;3.37;52.23
01:03:55.904;42.4;3.26;52.23
01:03:57.219;42.4;5.37;52.24
01:03:58.538;42.2;2.27;52.24
01:03:59.850;42.2;5.31;52.24
01:04:01.167;42.2;2.24;52.25
01:04:02.481;42.2;3.29;52.28
01:04:03.807;42.1;3.29;52.28
01:04:05.109;42.0;3.33;52.28
01:04:06.426;42.2;2.19;52.28
01:04:07.750;42.2;3.22;52.28
01:04:09.071;42.2;4.90;52.28
01:04:10.393;42.1;3.22;52.28
01:04:11.733;42.2;7.44;52.79
01:04:13.073;42.1;3.6;53.06
01:04:14.376;42.1;4.39;53.06
01:04:15.694;42.1;2.24;53.06
01:04:17.007;42.2;3.40;53.05
01:04:18.329;42.1;4.30;53.05
01:04:19.630;42.2;2.27;53.05
01:04:20.952;42.1;5.31;53.05
01:04:22.259;42.1;3.33;52.90
01:04:23.579;42.1;4.21;52.90
01:04:24.895;41.9;2.27;52.90
01:04:26.203;42.0;2.27;52.90
01:04:27.525;42.0;7.36;52.90
01:04:28.838;42.1;5.31;52.90
01:04:30.141;42.0;4.34;52.90
01:04:31.458;42.0;2.27;52.90
01:04:32.770;41.9;4.34;52.90
01:04:34.072;42.0;3.22;52.64
01:04:35.385;42.0;2.27;52.64
01:04:36.699;42.0;2.17;52.66
01:04:38.003;41.9;4.30;52.63
01:04:39.315;41.9;2.27;52.61
01:04:40.621;41.8;2.32;52.62
01:04:41.940;41.9;4.44;52.66
01:04:43.254;41.8;5.43;52.66
01:04:44.553;41.9;2.35;52.66
01:04:45.865;41.8;1.8;52.64
01:04:47.170;41.8;3.33;52.64
01:04:48.471;41.6;2.29;52.64
01:04:49.784;41.9;3.33;52.64
01:04:51.091;41.8;3.22;52.64
01:04:52.411;41.8;1.13;52.64
01:04:53.726;41.8;2.22;52.64
01:04:55.037;41.8;2.27;52.64
01:04:56.344;41.6;2.17;52.64
01:04:57.658;41.8;2.29;52.66
01:04:58.973;41.6;4.16;53.34
01:05:00.293;41.6;2.19;53.34
01:05:01.624;41.8;4.34;54.17
01:05:02.954;41.9;3.96;54.37
01:05:04.268;42.1;4.25;54.37
01:05:05.695;42.0;41.25;54.67
01:05:07.149;42.2;38.18;54.71
01:05:08.529;42.9;39.0;54.50
01:05:09.915;43.4;40.17;54.50
01:05:11.347;44.4;39.28;54.34
01:05:12.767;44.9;38.9;54.35
01:05:14.304;45.4;40.14;54.37
01:05:15.722;46.4;38.65;54.35
01:05:17.177;46.9;39.51;54.44
01:05:18.563;47.8;39.80;54.37
01:05:20.041;48.4;40.17;54.45
01:05:21.447;48.9;39.51;54.13
01:05:22.948;49.6;41.48;54.13
01:05:24.347;50.4;39.47;54.13
01:05:25.863;50.9;40.67;54.23
01:05:27.264;51.6;39.13;54.13
01:05:28.727;52.4;38.73;54.13
01:05:30.229;52.8;42.38;54.13
01:05:31.658;53.2;40.86;54.22
01:05:33.152;54.1;38.67;54.13
01:05:34.667;54.6;40.70;54.13
01:05:36.159;55.4;42.72;54.13
01:05:37.555;55.8;38.83;54.23
01:05:39.057;56.4;40.62;54.22
01:05:40.479;56.8;38.18;54.21
01:05:41.914;57.1;40.70;54.13
01:05:43.327;58.0;39.83;54.13
01:05:44.752;58.1;40.0;54.10
01:05:46.247;59.0;41.7;54.18
01:05:47.751;59.2;40.90;54.08
01:05:49.139;59.5;39.9;54.08
