Timestamp,CPU Temperature (°C),Power (W),CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
00:00:00.000,49.8,2.2,12,11,0.0,Idle,Ransomware,Jigsaw,Windows 10 VM,Prometheus,1
00:05:00.000,70.5,4.4,93,68,300.0,Attack,Ransomware,Jigsaw,Windows 10 VM,Prometheus,1
00:10:00.000,53.3,2.3,20,15,600.0,Recovery,Ransomware,Jigsaw,Windows 10 VM,Prometheus,1
