CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
0.1,5.86,0.0,Idle,Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,System,1
100.0,29.73,1.0,Attack,Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,System,1
