CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
1.1,7.05,0.0,Idle,Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,System,2
100.0,70.54,1.0,Attack,Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,System,2
