CPU Usage (%),CPU Temperature (°C),Memory Usage (%),GPU Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
1.0,55.0,11.08,1.0,0.0,Idle,Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,System,3
100.0,83.7,83.75,10.0,1.0,Attack,Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,System,3
