Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C)
09:25:51.000,44.0,44.0,44.0,44.0,44.0,3.1,0.7,0.0,0.0
09:25:54.000,41.0,41.0,41.0,41.0,41.0,3.4,1.0,0.0,0.0
09:25:57.000,45.0,42.0,43.0,45.0,45.0,3.5,1.1,0.0,0.0
09:26:00.000,39.0,39.0,39.0,39.0,39.0,3.3,0.9,0.0,0.0
09:26:03.000,39.0,39.0,39.0,39.0,39.0,4.1,1.6,0.0,0.0
09:26:06.000,42.0,42.0,42.0,42.0,42.0,3.1,0.7,0.0,0.0
09:26:09.000,40.0,40.0,40.0,40.0,40.0,3.4,1.0,0.0,0.0
09:26:12.000,41.0,41.0,41.0,41.0,41.0,3.2,0.8,0.0,0.0
09:26:15.000,39.0,39.0,39.0,39.0,39.0,3.1,0.7,0.0,0.0
09:26:18.000,42.0,42.0,42.0,42.0,44.0,3.3,0.9,0.0,0.0
09:26:21.000,40.0,40.0,40.0,40.0,40.0,3.1,0.7,0.0,0.0
09:26:24.000,40.0,40.0,40.0,40.0,40.0,8.3,5.7,0.0,0.0
09:26:27.000,41.0,41.0,41.0,41.0,41.0,3.1,0.7,0.0,0.0
09:26:30.000,41.0,41.0,41.0,41.0,41.0,3.1,0.7,0.0,0.0
09:26:33.000,41.0,41.0,41.0,44.0,45.0,4.8,2.3,0.0,0.0
09:26:36.000,44.0,44.0,44.0,45.0,45.0,4.2,1.7,0.0,0.0
09:26:39.000,43.0,43.0,43.0,43.0,43.0,3.8,1.4,0.0,0.0
09:26:42.000,38.0,38.0,38.0,38.0,45.0,3.3,0.9,0.0,0.0
09:26:45.000,44.0,44.0,43.0,45.0,45.0,3.2,0.8,0.0,0.0
09:26:48.000,39.0,39.0,39.0,39.0,39.0,3.3,0.9,0.0,0.0
09:26:51.000,41.0,41.0,41.0,41.0,41.0,3.1,0.7,0.0,0.0
09:26:54.000,39.0,39.0,43.0,45.0,45.0,3.8,1.3,0.0,0.0
09:26:57.000,41.0,41.0,41.0,41.0,41.0,3.4,0.9,0.0,0.0
09:27:00.000,43.0,43.0,43.0,43.0,43.0,3.2,0.7,0.0,0.0
09:27:03.000,40.0,40.0,40.0,45.0,45.0,3.3,0.9,0.0,0.0
