Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C)
04:52:40.000,72.0,74.0,70.0,71.0,74.0,29.3,24.3,0.8,0.0
04:52:42.000,73.0,74.0,70.0,72.0,73.0,22.5,18.1,0.5,0.0
04:52:44.000,68.0,71.0,68.0,69.0,71.0,23.6,19.1,0.5,0.0
04:52:46.000,72.0,75.0,71.0,72.0,75.0,24.3,20.1,0.2,0.0
04:52:48.000,73.0,75.0,72.0,72.0,75.0,24.1,20.2,0.0,0.0
04:52:50.000,68.0,70.0,67.0,68.0,71.0,20.0,16.2,0.0,0.0
04:52:52.000,73.0,74.0,72.0,72.0,74.0,20.7,16.9,0.0,0.0
04:52:54.000,71.0,72.0,69.0,70.0,72.0,23.9,19.6,0.3,0.0
04:52:56.000,74.0,77.0,69.0,73.0,77.0,21.8,17.9,0.0,0.0
04:52:58.000,73.0,76.0,74.0,72.0,76.0,19.8,16.0,0.0,0.0
04:53:00.000,71.0,73.0,73.0,74.0,75.0,18.2,14.6,0.0,0.0
04:53:02.000,69.0,72.0,69.0,73.0,73.0,22.6,18.6,0.0,0.0
04:53:04.000,69.0,69.0,67.0,68.0,72.0,20.5,16.7,0.0,0.0
04:53:06.000,70.0,71.0,67.0,70.0,74.0,22.2,18.4,0.0,0.0
04:53:08.000,76.0,77.0,72.0,73.0,77.0,24.0,20.0,0.0,0.0
04:53:10.000,75.0,77.0,74.0,74.0,77.0,22.4,18.5,0.0,0.0
04:53:12.000,76.0,78.0,75.0,75.0,78.0,21.0,17.1,0.0,0.0
04:53:14.000,73.0,75.0,75.0,72.0,77.0,27.9,23.9,0.0,0.0
04:53:16.000,71.0,72.0,77.0,71.0,77.0,23.2,19.3,0.0,0.0
04:53:18.000,76.0,75.0,74.0,72.0,76.0,24.3,20.3,0.0,0.0
04:53:20.000,76.0,77.0,75.0,75.0,77.0,24.2,20.2,0.0,0.0
