Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C)
09:42:33.000,76.0,80.0,79.0,75.0,80.0,21.4,16.7,0.5,0.0
09:42:36.000,77.0,80.0,80.0,77.0,80.0,21.2,16.5,0.5,0.0
09:42:39.000,77.0,80.0,80.0,77.0,80.0,22.2,17.6,0.4,0.0
09:42:42.000,73.0,75.0,74.0,73.0,75.0,18.4,13.8,0.4,0.0
09:42:45.000,74.0,76.0,74.0,73.0,76.0,18.8,14.0,0.6,0.0
09:42:48.000,75.0,76.0,76.0,73.0,76.0,18.7,13.9,0.1,72.0
09:42:51.000,74.0,76.0,76.0,74.0,76.0,18.2,13.8,0.2,0.0
09:42:54.000,74.0,76.0,74.0,74.0,76.0,18.3,13.8,0.4,0.0
09:42:57.000,78.0,80.0,80.0,78.0,80.0,24.2,20.0,0.0,0.0
09:43:00.000,78.0,81.0,81.0,78.0,81.0,24.5,20.4,0.0,0.0
09:43:03.000,79.0,81.0,81.0,79.0,81.0,25.0,20.8,0.0,0.0
09:43:06.000,74.0,77.0,75.0,73.0,77.0,18.0,13.9,0.0,0.0
09:43:09.000,79.0,82.0,81.0,78.0,82.0,26.4,21.0,1.2,0.0
09:43:12.000,76.0,76.0,76.0,74.0,76.0,18.4,13.7,0.5,0.0
09:43:15.000,75.0,76.0,74.0,73.0,76.0,18.6,13.7,0.6,0.0
09:43:19.000,75.0,76.0,74.0,73.0,76.0,18.6,13.6,0.7,0.0
09:43:22.000,74.0,77.0,75.0,73.0,77.0,18.0,13.8,0.0,0.0
09:43:25.000,75.0,76.0,74.0,73.0,76.0,18.0,13.8,0.1,0.0
09:43:28.000,74.0,76.0,74.0,73.0,76.0,18.1,13.9,0.0,0.0
09:43:31.000,75.0,75.0,75.0,73.0,75.0,18.1,13.9,0.0,0.0
09:43:34.000,73.0,76.0,75.0,73.0,76.0,18.3,13.8,0.3,0.0
09:43:37.000,74.0,75.0,75.0,74.0,75.0,19.8,14.8,0.8,0.0
09:43:40.000,74.0,77.0,76.0,74.0,77.0,18.1,13.9,0.0,0.0
09:43:43.000,75.0,77.0,75.0,73.0,77.0,18.1,13.9,0.0,0.0
09:43:46.000,75.0,76.0,76.0,73.0,76.0,18.1,13.9,0.0,0.0
09:43:49.000,74.0,76.0,74.0,73.0,76.0,18.2,13.9,0.2,0.0
09:43:52.000,75.0,76.0,76.0,74.0,76.0,18.1,13.9,0.0,0.0
09:43:55.000,75.0,77.0,75.0,72.0,77.0,18.1,13.9,0.0,0.0
09:43:58.000,74.0,76.0,75.0,74.0,76.0,18.7,13.6,0.9,0.0
09:44:01.000,74.0,77.0,76.0,74.0,77.0,18.1,13.9,0.0,0.0
09:44:04.000,75.0,77.0,75.0,74.0,77.0,18.0,13.9,0.0,0.0
09:44:07.000,75.0,77.0,76.0,75.0,77.0,26.3,22.2,0.0,0.0
09:44:10.000,75.0,76.0,75.0,75.0,76.0,18.0,13.9,0.0,0.0
09:44:13.000,74.0,76.0,76.0,75.0,76.0,18.1,13.9,0.0,0.0
09:44:16.000,75.0,77.0,74.0,74.0,77.0,18.2,14.0,0.0,0.0
09:44:19.000,74.0,76.0,76.0,74.0,76.0,18.1,13.9,0.0,0.0
09:44:22.000,75.0,76.0,75.0,74.0,76.0,18.0,13.9,0.0,0.0
09:44:25.000,74.0,76.0,77.0,73.0,77.0,17.3,13.3,0.0,0.0
09:44:28.000,74.0,76.0,74.0,73.0,76.0,17.3,13.3,0.0,0.0
09:44:31.000,79.0,81.0,80.0,77.0,81.0,24.9,20.9,0.0,0.0
09:44:34.000,74.0,77.0,73.0,73.0,77.0,17.4,13.4,0.0,0.0
09:44:37.000,75.0,77.0,75.0,73.0,77.0,17.4,13.4,0.0,0.0
09:44:40.000,74.0,76.0,75.0,73.0,76.0,17.4,13.4,0.0,0.0
09:44:43.000,79.0,81.0,80.0,79.0,81.0,27.1,23.1,0.0,0.0
09:44:46.000,75.0,76.0,75.0,75.0,76.0,17.3,13.4,0.0,0.0
09:44:49.000,75.0,77.0,74.0,74.0,77.0,17.4,13.4,0.0,0.0
09:44:52.000,74.0,76.0,75.0,74.0,76.0,17.3,13.3,0.0,0.0
09:44:55.000,79.0,82.0,80.0,79.0,82.0,28.9,24.9,0.0,0.0
09:44:58.000,75.0,77.0,75.0,75.0,77.0,17.3,13.3,0.0,0.0
09:45:01.000,76.0,77.0,74.0,74.0,77.0,17.7,13.7,0.0,0.0
