CPU Usage (%),CPU Temperature (°C),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
12.0,37.0,0.0,Idle,Cryptojacking,CoinIMP (CPU) (100%),Apple M1 Pro,System,1
100.0,59.0,1.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple M1 Pro,System,1
