Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-04 16:11:54;56,0 °C;84,0 °C;53,0 °C;63,0 °C;85,0 °C;21,5 W;17,0 W;0,1 W;11,8 %;64,9 %;56,0 °C;0,0 %;66,9 %
2025-06-04 16:11:56;67,0 °C;80,0 °C;56,0 °C;59,0 °C;80,0 °C;22,0 W;17,7 W;0,0 W;12,8 %;64,9 %;56,0 °C;0,0 %;66,9 %
2025-06-04 16:11:58;68,0 °C;92,0 °C;56,0 °C;65,0 °C;89,0 °C;26,8 W;22,3 W;0,0 W;14,9 %;65,1 %;56,0 °C;0,0 %;66,9 %
2025-06-04 16:12:00;75,0 °C;66,0 °C;59,0 °C;58,0 °C;74,0 °C;25,3 W;20,9 W;0,0 W;13,4 %;64,9 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:02;65,0 °C;84,0 °C;54,0 °C;63,0 °C;84,0 °C;22,2 W;17,8 W;0,0 W;11,8 %;64,9 %;56,0 °C;0,0 %;66,9 %
2025-06-04 16:12:04;70,0 °C;70,0 °C;56,0 °C;58,0 °C;74,0 °C;21,0 W;16,5 W;0,0 W;11,7 %;64,8 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:06;75,0 °C;68,0 °C;57,0 °C;58,0 °C;77,0 °C;23,4 W;18,8 W;0,1 W;12,4 %;64,9 %;56,0 °C;0,0 %;66,9 %
2025-06-04 16:12:08;76,0 °C;55,0 °C;59,0 °C;54,0 °C;80,0 °C;25,2 W;21,0 W;0,1 W;17,1 %;64,9 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:10;63,0 °C;88,0 °C;52,0 °C;62,0 °C;87,0 °C;22,1 W;17,8 W;0,0 W;12,8 %;64,9 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:12;62,0 °C;79,0 °C;52,0 °C;58,0 °C;79,0 °C;18,1 W;13,9 W;0,0 W;9,8 %;64,8 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:14;58,0 °C;80,0 °C;54,0 °C;58,0 °C;80,0 °C;20,8 W;16,6 W;0,0 W;9,5 %;64,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:16;58,0 °C;75,0 °C;52,0 °C;58,0 °C;75,0 °C;19,4 W;15,1 W;0,0 W;11,0 %;64,8 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:18;61,0 °C;80,0 °C;52,0 °C;59,0 °C;80,0 °C;18,7 W;14,6 W;0,0 W;12,2 %;64,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:20;70,0 °C;78,0 °C;65,0 °C;59,0 °C;80,0 °C;21,5 W;17,2 W;0,0 W;11,5 %;64,8 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:22;74,0 °C;61,0 °C;57,0 °C;54,0 °C;75,0 °C;20,4 W;16,2 W;0,0 W;10,7 %;64,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:24;74,0 °C;56,0 °C;54,0 °C;56,0 °C;72,0 °C;18,8 W;14,9 W;0,0 W;11,3 %;64,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:26;63,0 °C;81,0 °C;53,0 °C;59,0 °C;81,0 °C;20,2 W;16,1 W;0,0 W;11,8 %;64,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:28;60,0 °C;83,0 °C;52,0 °C;61,0 °C;83,0 °C;20,8 W;16,3 W;0,0 W;14,1 %;64,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:30;65,0 °C;71,0 °C;57,0 °C;58,0 °C;74,0 °C;22,1 W;17,9 W;0,1 W;15,1 %;62,3 %;0,0 °C;0,0 %;66,9 %
2025-06-04 16:12:32;58,0 °C;71,0 °C;54,0 °C;56,0 °C;76,0 °C;25,6 W;21,2 W;0,0 W;16,5 %;62,2 %;0,0 °C;0,0 %;2,4 %
2025-06-04 16:12:34;65,0 °C;84,0 °C;54,0 °C;62,0 °C;84,0 °C;28,6 W;23,9 W;0,0 W;18,8 %;62,4 %;56,0 °C;0,0 %;2,4 %
2025-06-04 16:12:36;74,0 °C;71,0 °C;68,0 °C;59,0 °C;74,0 °C;24,4 W;19,0 W;0,0 W;15,1 %;64,2 %;58,0 °C;0,0 %;2,4 %
2025-06-04 16:12:38;72,0 °C;68,0 °C;56,0 °C;58,0 °C;73,0 °C;20,1 W;14,9 W;0,0 W;10,7 %;64,8 %;58,0 °C;0,0 %;66,9 %
2025-06-04 16:12:40;75,0 °C;55,0 °C;56,0 °C;54,0 °C;75,0 °C;21,1 W;16,0 W;0,0 W;11,3 %;64,8 %;57,0 °C;0,0 %;66,9 %
2025-06-04 16:12:42;70,0 °C;77,0 °C;61,0 °C;62,0 °C;78,0 °C;19,7 W;14,6 W;0,0 W;11,3 %;64,9 %;57,0 °C;0,0 %;66,9 %
