Timestamp,CPU Temperature (°C),Power (W),CPU Usage (%),Memory Usage (Mo),Memory Usage (%)
00:00:00.000,49.2,2.2,12,182,12
00:05:00.000,73.3,4.8,96,799,71
00:10:00.000,54.0,2.5,22,210,16
