Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-05 09:43:41;88,0 °C;67,0 °C;70,0 °C;65,0 °C;88,0 °C;20,6 W;15,8 W;0,0 W;9,4 %;66,5 %;73,0 °C;100,0 %;96,7 %
2025-06-05 09:43:43;86,0 °C;71,0 °C;70,0 °C;69,0 °C;86,0 °C;19,9 W;15,5 W;0,0 W;11,0 %;66,4 %;73,0 °C;100,0 %;96,7 %
2025-06-05 09:43:45;87,0 °C;66,0 °C;70,0 °C;65,0 °C;87,0 °C;21,4 W;16,4 W;0,0 W;9,9 %;66,5 %;74,0 °C;100,0 %;96,7 %
2025-06-05 09:43:47;88,0 °C;65,0 °C;70,0 °C;65,0 °C;88,0 °C;23,3 W;18,2 W;0,0 W;10,6 %;66,1 %;73,0 °C;100,0 %;96,7 %
2025-06-05 09:43:49;87,0 °C;67,0 °C;70,0 °C;66,0 °C;87,0 °C;19,9 W;14,9 W;0,0 W;9,5 %;66,1 %;73,0 °C;95,0 %;96,7 %
2025-06-05 09:43:51;89,0 °C;66,0 °C;71,0 °C;65,0 °C;89,0 °C;20,2 W;15,3 W;0,1 W;10,0 %;66,1 %;73,0 °C;94,0 %;96,7 %
2025-06-05 09:43:53;84,0 °C;73,0 °C;70,0 °C;66,0 °C;90,0 °C;22,5 W;17,5 W;0,0 W;9,9 %;66,1 %;73,0 °C;100,0 %;96,7 %
2025-06-05 09:43:55;88,0 °C;66,0 °C;70,0 °C;66,0 °C;88,0 °C;20,5 W;15,6 W;0,0 W;10,1 %;66,1 %;73,0 °C;96,0 %;96,7 %
2025-06-05 09:43:57;87,0 °C;66,0 °C;70,0 °C;65,0 °C;88,0 °C;19,7 W;14,9 W;0,0 W;10,2 %;66,1 %;73,0 °C;95,0 %;96,7 %
2025-06-05 09:43:59;88,0 °C;66,0 °C;70,0 °C;66,0 °C;89,0 °C;20,1 W;15,3 W;0,0 W;9,4 %;66,1 %;73,0 °C;92,0 %;96,7 %
