Timestamp,Relative Time (s),CPU Usage (%),Memory Usage (%),Network (Ko/s),CPU Temperature (°C),Mode,Attack Type,Attack,Host,Measurement,Run
15:09:45.000,0.0,0.0,21.5,0.0,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:46.000,1.01,0.0,21.6,0.23046875,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:47.000,2.01,0.0,21.6,0.06640625,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:48.000,3.02,0.0,21.6,1.4140625,56.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:49.000,4.02,0.0,21.6,0.318359375,56.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:50.000,5.02,0.0,21.6,0.0,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:51.000,6.03,0.0,21.6,0.0,56.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:52.000,7.04,0.0,21.6,0.0,54.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:53.000,8.05,0.5,21.5,0.169921875,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:54.000,9.06,2.5,21.5,16.2998046875,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:55.000,10.07,0.0,21.5,0.0,56.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:56.000,11.08,0.5,21.5,0.791015625,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:57.000,12.09,0.0,21.5,1.826171875,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:58.000,13.1,0.0,21.5,0.162109375,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:09:59.000,14.11,0.0,21.5,0.087890625,54.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:10:00.000,15.12,0.0,21.5,0.078125,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:10:01.000,16.13,0.0,21.5,1.4140625,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:10:02.000,17.13,0.0,21.5,0.0,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:10:03.000,18.14,0.0,21.5,0.0,54.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:10:04.000,19.15,0.0,21.5,0.1640625,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:10:05.000,20.16,0.0,21.5,0.1787109375,55.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:10:06.000,21.17,0.0,21.5,0.076171875,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:10:07.000,22.18,0.0,21.5,0.0,55.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:10:08.000,23.19,0.0,21.5,0.0,54.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
15:10:09.000,24.2,0.0,21.5,0.087890625,54.5,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,System,3
