Timestamp,Relative Time (s),Voltage (V),Current (A),Power (W),Mode,Attack Type,Attack,Host,Measurement,Run
14:50:27.000,0.0,2.38,0.64,3.21,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:28.000,0.83,2.4,0.56,2.79,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:29.000,1.93,2.4,0.54,2.72,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:30.000,3.04,2.4,0.55,2.75,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:31.000,4.14,2.4,0.52,2.59,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:32.000,5.24,2.4,0.52,2.59,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:33.000,6.34,2.4,0.52,2.62,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:34.000,7.44,2.38,0.64,3.22,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:35.000,8.55,2.39,0.62,3.08,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:36.000,9.65,2.4,0.54,2.69,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:37.000,10.75,2.4,0.56,2.8,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:39.000,11.85,2.39,0.59,2.96,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:40.000,12.95,2.39,0.57,2.87,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:41.000,14.05,2.39,0.57,2.84,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:42.000,15.16,2.39,0.57,2.84,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:43.000,16.25,2.39,0.59,2.96,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:44.000,17.36,2.39,0.62,3.09,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:45.000,18.46,2.39,0.6,3.01,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:46.000,19.56,2.39,0.58,2.88,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:47.000,20.66,2.39,0.58,2.88,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:48.000,21.76,2.4,0.55,2.76,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:50.000,22.86,2.39,0.59,2.97,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:51.000,23.97,2.38,0.66,3.28,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:52.000,25.07,2.38,0.63,3.17,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:53.000,26.17,2.38,0.66,3.28,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:54.000,27.27,2.41,0.49,2.44,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:55.000,28.37,2.41,0.48,2.4,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:56.000,29.47,2.4,0.54,2.71,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:57.000,30.58,2.41,0.5,2.51,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:58.000,31.68,2.41,0.47,2.34,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:50:59.000,32.78,2.39,0.62,3.08,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:01.000,33.88,2.39,0.59,2.93,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:02.000,34.98,2.39,0.57,2.87,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:03.000,36.08,2.39,0.61,3.06,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:04.000,37.19,2.39,0.59,2.95,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:05.000,38.29,2.39,0.58,2.91,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:06.000,39.39,2.4,0.55,2.76,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:07.000,40.49,2.41,0.51,2.56,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:08.000,41.59,2.41,0.51,2.56,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:09.000,42.7,2.4,0.52,2.62,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:10.000,43.8,2.4,0.54,2.68,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:12.000,44.9,2.4,0.54,2.69,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:13.000,46.0,2.41,0.51,2.54,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:14.000,47.1,2.4,0.56,2.8,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:15.000,48.2,2.39,0.6,3.0,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:16.000,49.31,2.4,0.56,2.81,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:17.000,50.41,2.4,0.54,2.71,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:18.000,51.51,2.4,0.56,2.8,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:19.000,52.61,2.4,0.56,2.79,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:20.000,53.71,2.41,0.5,2.48,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:22.000,54.82,2.4,0.52,2.6,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:23.000,55.92,2.39,0.62,3.1,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:24.000,57.02,2.38,0.64,3.18,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:25.000,58.12,2.4,0.55,2.75,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:26.000,59.22,2.39,0.59,2.95,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:27.000,60.33,2.36,0.74,3.69,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:28.000,61.43,2.39,0.61,3.06,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:29.000,62.53,2.37,0.72,3.58,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:30.000,63.63,2.37,0.7,3.51,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:31.000,64.73,2.38,0.63,3.13,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:33.000,65.83,2.4,0.54,2.71,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:34.000,66.93,2.35,0.79,3.94,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:35.000,68.04,2.38,0.67,3.37,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:36.000,69.14,2.36,0.74,3.7,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:37.000,70.24,2.39,0.61,3.04,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:38.000,71.34,2.38,0.65,3.24,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:39.000,72.44,2.4,0.56,2.79,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:40.000,73.54,2.39,0.59,2.97,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:41.000,74.64,2.39,0.62,3.1,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:42.000,75.75,2.4,0.52,2.62,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:44.000,76.85,2.4,0.53,2.63,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:45.000,77.95,2.39,0.58,2.92,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:46.000,79.05,2.4,0.52,2.62,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:47.000,80.15,2.4,0.56,2.81,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
14:51:48.000,81.25,2.39,0.59,2.97,Idle,Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,ACS712,1
