Timestamp,Voltage (V),Voltage Adjusted (V),Current (A),Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
02:45:39.836,2.43,0.01,0.12,0.62,39.048,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:40.821,2.44,0.02,0.22,1.11,40.033,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:41.839,2.43,0.01,0.12,0.62,41.051,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:42.824,2.42,0.01,0.07,0.37,42.036,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:43.810,2.41,-0.0,-0.02,-0.11,43.022,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:44.831,2.42,0.01,0.07,0.37,44.043,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:45.822,2.43,0.02,0.17,0.86,45.034,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:46.810,2.43,0.01,0.12,0.62,46.022,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:47.829,2.43,0.01,0.12,0.62,47.041,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:48.814,2.43,0.01,0.12,0.62,48.026,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:49.836,2.43,0.01,0.12,0.62,49.048,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:50.825,2.42,0.01,0.07,0.37,50.037,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:51.843,2.43,0.02,0.17,0.86,51.055,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:52.831,2.43,0.02,0.17,0.86,52.043,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:53.823,2.43,0.01,0.12,0.62,53.035,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:54.844,2.43,0.01,0.12,0.62,54.056,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:55.831,2.43,0.01,0.12,0.62,55.043,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:56.820,2.45,0.03,0.32,1.6,56.032,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:57.839,2.43,0.01,0.12,0.62,57.051,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:58.825,2.43,0.01,0.12,0.62,58.037,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:45:59.837,2.43,0.02,0.17,0.86,59.049,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:00.825,2.43,0.01,0.12,0.62,60.037,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:01.845,2.42,0.01,0.07,0.37,61.057,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:02.829,2.44,0.02,0.22,1.11,62.041,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:03.845,2.43,0.02,0.17,0.86,63.057,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:04.833,2.43,0.01,0.12,0.62,64.045,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
