Timestamp,CPU Temperature (°C),Power (W),CPU Usage (%),Memory Usage (Mo),Memory Usage (%)
00:00:00.000,48.1,2.0,11,175,10
00:05:00.000,70.2,4.4,94,771,67
00:10:00.000,52.9,2.3,19,198,14
