Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
0.48,0.0,Idle,Denial of Service,Hping3 (SYN),TP-Link Tapo C200,ACS712,1
0.5,1.0,Attack,Denial of Service,Hping3 (SYN),TP-Link Tapo C200,ACS712,1
