Temps,Température (°C),Consommation (W),CPU (%),RAM (Mo),RAM (%)
00:00–04:59,48.1,2.0,11,175,10%
05:00–09:59,70.2,4.4,94,771,67%
10:00–14:59,52.9,2.3,19,198,14%
