Horodatage;Timestamp (s);Tension (V);Courant (A);Puissance (W)
2025-05-08 15:09:46;0.0;2.39;0.62;3.09
2025-05-08 15:09:47;0.83;2.39;0.62;3.08
2025-05-08 15:09:48;1.93;2.38;0.63;3.13
2025-05-08 15:09:49;3.04;2.39;0.59;2.97
2025-05-08 15:09:50;4.14;2.40;0.54;2.72
2025-05-08 15:09:52;5.24;2.40;0.56;2.80
2025-05-08 15:09:53;6.34;2.40;0.54;2.71
2025-05-08 15:09:54;7.44;2.41;0.51;2.56
2025-05-08 15:09:55;8.54;2.39;0.60;3.01
2025-05-08 15:09:56;9.65;2.39;0.60;3.01
2025-05-08 15:09:57;10.75;2.39;0.59;2.97
2025-05-08 15:09:58;11.85;2.39;0.59;2.95
2025-05-08 15:09:59;12.95;2.41;0.51;2.55
2025-05-08 15:10:00;14.05;2.39;0.60;2.99
2025-05-08 15:10:01;15.16;2.39;0.58;2.92
2025-05-08 15:10:03;16.26;2.41;0.50;2.51
2025-05-08 15:10:04;17.36;2.38;0.65;3.24
2025-05-08 15:10:05;18.46;2.40;0.55;2.77
2025-05-08 15:10:06;19.56;2.40;0.52;2.59
2025-05-08 15:10:07;20.66;2.41;0.49;2.46
2025-05-08 15:10:08;21.76;2.40;0.56;2.81
2025-05-08 15:10:09;22.86;2.40;0.54;2.72
2025-05-08 15:10:10;23.97;2.41;0.51;2.54
2025-05-08 15:10:11;25.07;2.40;0.52;2.60
2025-05-08 15:10:12;26.17;2.40;0.54;2.71
2025-05-08 15:10:14;27.27;2.40;0.52;2.62
2025-05-08 15:10:15;28.37;2.39;0.62;3.08
2025-05-08 15:10:16;29.47;2.40;0.55;2.76
2025-05-08 15:10:17;30.58;2.39;0.60;2.99
2025-05-08 15:10:18;31.68;2.39;0.60;3.01
2025-05-08 15:10:19;32.78;2.40;0.54;2.68
2025-05-08 15:10:20;33.88;2.40;0.54;2.68
2025-05-08 15:10:21;34.98;2.41;0.47;2.36
2025-05-08 15:10:22;36.09;2.40;0.52;2.60
2025-05-08 15:10:24;37.19;2.38;0.63;3.17
2025-05-08 15:10:25;38.29;2.39;0.60;3.01
2025-05-08 15:10:26;39.39;2.40;0.52;2.60
2025-05-08 15:10:27;40.49;2.40;0.54;2.72
