Horodatage;Timestamp (s);Tension (V);Courant (A);Puissance (W)
2025-05-08 14:50:27;0.0;2.38;0.64;3.21
2025-05-08 14:50:28;0.83;2.40;0.56;2.79
2025-05-08 14:50:29;1.93;2.40;0.54;2.72
2025-05-08 14:50:30;3.04;2.40;0.55;2.75
2025-05-08 14:50:31;4.14;2.40;0.52;2.59
2025-05-08 14:50:32;5.24;2.40;0.52;2.59
2025-05-08 14:50:33;6.34;2.40;0.52;2.62
2025-05-08 14:50:34;7.44;2.38;0.64;3.22
2025-05-08 14:50:35;8.55;2.39;0.62;3.08
2025-05-08 14:50:36;9.65;2.40;0.54;2.69
2025-05-08 14:50:37;10.75;2.40;0.56;2.80
2025-05-08 14:50:39;11.85;2.39;0.59;2.96
2025-05-08 14:50:40;12.95;2.39;0.57;2.87
2025-05-08 14:50:41;14.05;2.39;0.57;2.84
2025-05-08 14:50:42;15.16;2.39;0.57;2.84
2025-05-08 14:50:43;16.25;2.39;0.59;2.96
2025-05-08 14:50:44;17.36;2.39;0.62;3.09
2025-05-08 14:50:45;18.46;2.39;0.60;3.01
2025-05-08 14:50:46;19.56;2.39;0.58;2.88
2025-05-08 14:50:47;20.66;2.39;0.58;2.88
2025-05-08 14:50:48;21.76;2.40;0.55;2.76
2025-05-08 14:50:50;22.86;2.39;0.59;2.97
2025-05-08 14:50:51;23.97;2.38;0.66;3.28
2025-05-08 14:50:52;25.07;2.38;0.63;3.17
2025-05-08 14:50:53;26.17;2.38;0.66;3.28
2025-05-08 14:50:54;27.27;2.41;0.49;2.44
2025-05-08 14:50:55;28.37;2.41;0.48;2.40
2025-05-08 14:50:56;29.47;2.40;0.54;2.71
2025-05-08 14:50:57;30.58;2.41;0.50;2.51
2025-05-08 14:50:58;31.68;2.41;0.47;2.34
2025-05-08 14:50:59;32.78;2.39;0.62;3.08
2025-05-08 14:51:01;33.88;2.39;0.59;2.93
2025-05-08 14:51:02;34.98;2.39;0.57;2.87
2025-05-08 14:51:03;36.08;2.39;0.61;3.06
2025-05-08 14:51:04;37.19;2.39;0.59;2.95
2025-05-08 14:51:05;38.29;2.39;0.58;2.91
2025-05-08 14:51:06;39.39;2.40;0.55;2.76
2025-05-08 14:51:07;40.49;2.41;0.51;2.56
2025-05-08 14:51:08;41.59;2.41;0.51;2.56
2025-05-08 14:51:09;42.7;2.40;0.52;2.62
2025-05-08 14:51:10;43.8;2.40;0.54;2.68
2025-05-08 14:51:12;44.9;2.40;0.54;2.69
2025-05-08 14:51:13;46.0;2.41;0.51;2.54
2025-05-08 14:51:14;47.1;2.40;0.56;2.80
2025-05-08 14:51:15;48.2;2.39;0.60;3.00
2025-05-08 14:51:16;49.31;2.40;0.56;2.81
2025-05-08 14:51:17;50.41;2.40;0.54;2.71
2025-05-08 14:51:18;51.51;2.40;0.56;2.80
2025-05-08 14:51:19;52.61;2.40;0.56;2.79
2025-05-08 14:51:20;53.71;2.41;0.50;2.48
2025-05-08 14:51:22;54.82;2.40;0.52;2.60
2025-05-08 14:51:23;55.92;2.39;0.62;3.10
2025-05-08 14:51:24;57.02;2.38;0.64;3.18
2025-05-08 14:51:25;58.12;2.40;0.55;2.75
2025-05-08 14:51:26;59.22;2.39;0.59;2.95
2025-05-08 14:51:27;60.33;2.36;0.74;3.69
2025-05-08 14:51:28;61.43;2.39;0.61;3.06
2025-05-08 14:51:29;62.53;2.37;0.72;3.58
2025-05-08 14:51:30;63.63;2.37;0.70;3.51
2025-05-08 14:51:31;64.73;2.38;0.63;3.13
2025-05-08 14:51:33;65.83;2.40;0.54;2.71
2025-05-08 14:51:34;66.93;2.35;0.79;3.94
2025-05-08 14:51:35;68.04;2.38;0.67;3.37
2025-05-08 14:51:36;69.14;2.36;0.74;3.70
2025-05-08 14:51:37;70.24;2.39;0.61;3.04
2025-05-08 14:51:38;71.34;2.38;0.65;3.24
2025-05-08 14:51:39;72.44;2.40;0.56;2.79
2025-05-08 14:51:40;73.54;2.39;0.59;2.97
2025-05-08 14:51:41;74.64;2.39;0.62;3.10
2025-05-08 14:51:42;75.75;2.40;0.52;2.62
2025-05-08 14:51:44;76.85;2.40;0.53;2.63
2025-05-08 14:51:45;77.95;2.39;0.58;2.92
2025-05-08 14:51:46;79.05;2.40;0.52;2.62
2025-05-08 14:51:47;80.15;2.40;0.56;2.81
2025-05-08 14:51:48;81.25;2.39;0.59;2.97
2025-05-08 14:51:49;82.36;2.40;0.55;2.75
2025-05-08 14:51:50;83.46;2.39;0.59;2.95
2025-05-08 14:51:51;84.56;2.40;0.52;2.62
2025-05-08 14:51:52;85.66;2.41;0.50;2.52
2025-05-08 14:51:53;86.76;2.40;0.56;2.80
2025-05-08 14:51:55;87.87;2.40;0.56;2.81
2025-05-08 14:51:56;88.97;2.39;0.58;2.92
2025-05-08 14:51:57;90.07;2.40;0.52;2.59
2025-05-08 14:51:58;91.17;2.40;0.55;2.73
2025-05-08 14:51:59;92.27;2.41;0.50;2.48
2025-05-08 14:52:00;93.37;2.41;0.50;2.51
2025-05-08 14:52:01;94.48;2.39;0.57;2.85
2025-05-08 14:52:02;95.58;2.38;0.63;3.13
2025-05-08 14:52:03;96.68;2.38;0.63;3.16
2025-05-08 14:52:04;97.78;2.40;0.55;2.75
2025-05-08 14:52:06;98.88;2.41;0.47;2.34
2025-05-08 14:52:07;99.99;2.40;0.55;2.75
2025-05-08 14:52:08;101.09;2.40;0.57;2.83
2025-05-08 14:52:09;102.19;2.40;0.52;2.59
2025-05-08 14:52:10;103.29;2.41;0.49;2.46
2025-05-08 14:52:11;104.39;2.41;0.49;2.43
2025-05-08 14:52:12;105.49;2.41;0.50;2.50
2025-05-08 14:52:13;106.6;2.40;0.56;2.79
2025-05-08 14:52:14;107.7;2.38;0.64;3.22
2025-05-08 14:52:15;108.8;2.40;0.54;2.71
2025-05-08 14:52:17;109.9;2.38;0.63;3.14
2025-05-08 14:52:18;111.0;2.39;0.62;3.09
2025-05-08 14:52:19;112.11;2.39;0.60;3.00
2025-05-08 14:52:20;113.21;2.38;0.63;3.17
2025-05-08 14:52:21;114.31;2.38;0.64;3.21
2025-05-08 14:52:22;115.41;2.40;0.52;2.62
2025-05-08 14:52:23;116.51;2.39;0.58;2.88
2025-05-08 14:52:24;117.61;2.40;0.55;2.75
2025-05-08 14:52:25;118.72;2.40;0.55;2.76
2025-05-08 14:52:27;119.82;2.40;0.55;2.75
2025-05-08 14:52:28;120.92;2.39;0.59;2.95
2025-05-08 14:52:29;122.02;2.37;0.71;3.57
2025-05-08 14:52:30;123.12;2.37;0.69;3.46
2025-05-08 14:52:31;124.22;2.38;0.66;3.29
2025-05-08 14:52:32;125.33;2.37;0.72;3.58
2025-05-08 14:52:33;126.42;2.41;0.49;2.44
2025-05-08 14:52:34;127.53;2.39;0.60;2.99
2025-05-08 14:52:35;128.63;2.40;0.54;2.68
2025-05-08 14:52:36;129.73;2.39;0.57;2.84
2025-05-08 14:52:38;130.83;2.40;0.56;2.79
2025-05-08 14:52:39;131.93;2.35;0.82;4.11
2025-05-08 14:52:40;133.03;2.36;0.75;3.74
2025-05-08 14:52:41;134.14;2.39;0.58;2.89
2025-05-08 14:52:42;135.24;2.38;0.66;3.32
2025-05-08 14:52:43;136.34;2.38;0.66;3.32
2025-05-08 14:52:44;137.44;2.39;0.60;2.99
2025-05-08 14:52:45;138.54;2.39;0.59;2.96
2025-05-08 14:52:46;139.65;2.37;0.70;3.51
2025-05-08 14:52:47;140.75;2.37;0.70;3.51
2025-05-08 14:52:49;141.85;2.38;0.64;3.20
2025-05-08 14:52:50;142.95;2.37;0.71;3.54
2025-05-08 14:52:51;144.05;2.37;0.72;3.59
2025-05-08 14:52:52;145.15;2.38;0.67;3.34
2025-05-08 14:52:53;146.26;2.38;0.67;3.36
2025-05-08 14:52:54;147.36;2.40;0.57;2.83
2025-05-08 14:52:55;148.46;2.40;0.54;2.72
2025-05-08 14:52:56;149.56;2.40;0.55;2.73
2025-05-08 14:52:57;150.66;2.40;0.52;2.59
2025-05-08 14:52:58;151.77;2.39;0.60;3.00
2025-05-08 14:53:00;152.87;2.38;0.63;3.16
2025-05-08 14:53:01;153.97;2.38;0.63;3.14
2025-05-08 14:53:02;155.07;2.36;0.73;3.66
2025-05-08 14:53:03;156.17;2.40;0.57;2.83
2025-05-08 14:53:04;157.27;2.38;0.64;3.22
2025-05-08 14:53:05;158.38;2.39;0.59;2.97
2025-05-08 14:53:06;159.48;2.39;0.61;3.06
2025-05-08 14:53:07;160.58;2.41;0.46;2.30
2025-05-08 14:53:08;161.68;2.40;0.52;2.60
2025-05-08 14:53:09;162.78;2.39;0.61;3.06
2025-05-08 14:53:11;163.89;2.37;0.70;3.49
2025-05-08 14:53:12;164.99;2.39;0.62;3.10
2025-05-08 14:53:13;166.09;2.39;0.62;3.08
2025-05-08 14:53:14;167.19;2.38;0.67;3.34
2025-05-08 14:53:15;168.29;2.39;0.60;2.99
2025-05-08 14:53:16;169.39;2.35;0.79;3.94
2025-05-08 14:53:17;170.5;2.37;0.72;3.59
2025-05-08 14:53:18;171.6;2.36;0.75;3.74
2025-05-08 14:53:19;172.7;2.35;0.79;3.96
2025-05-08 14:53:20;173.8;2.37;0.73;3.63
2025-05-08 14:53:22;174.9;2.38;0.63;3.16
2025-05-08 14:53:23;176.0;2.39;0.62;3.09
2025-05-08 14:53:24;177.11;2.38;0.65;3.25
2025-05-08 14:53:25;178.21;2.38;0.62;3.12
2025-05-08 14:53:26;179.31;2.38;0.66;3.30
2025-05-08 14:53:27;180.41;2.38;0.64;3.18
2025-05-08 14:53:28;181.51;2.37;0.70;3.49
2025-05-08 14:53:29;182.61;2.39;0.61;3.03
2025-05-08 14:53:30;183.71;2.36;0.73;3.66
2025-05-08 14:53:32;184.81;2.37;0.70;3.49
2025-05-08 14:53:33;185.92;2.39;0.62;3.08
2025-05-08 14:53:34;187.02;2.36;0.75;3.73
2025-05-08 14:53:35;188.12;2.38;0.66;3.28
2025-05-08 14:53:36;189.22;2.38;0.64;3.22
2025-05-08 14:53:37;190.32;2.36;0.73;3.67
2025-05-08 14:53:38;191.43;2.37;0.72;3.61
2025-05-08 14:53:39;192.53;2.38;0.66;3.30
2025-05-08 14:53:40;193.63;2.37;0.73;3.63
2025-05-08 14:53:41;194.73;2.39;0.57;2.85
2025-05-08 14:53:43;195.83;2.40;0.55;2.73
2025-05-08 14:53:44;196.93;2.38;0.63;3.16
2025-05-08 14:53:45;198.04;2.39;0.61;3.05
2025-05-08 14:53:46;199.14;2.41;0.51;2.55
2025-05-08 14:53:47;200.24;2.40;0.56;2.79
2025-05-08 14:53:48;201.34;2.39;0.62;3.08
2025-05-08 14:53:49;202.44;2.38;0.67;3.36
2025-05-08 14:53:50;203.54;2.37;0.69;3.45
2025-05-08 14:53:51;204.65;2.37;0.69;3.46
2025-05-08 14:53:52;205.75;2.40;0.53;2.67
2025-05-08 14:53:54;206.85;2.39;0.59;2.97
2025-05-08 14:53:55;207.95;2.40;0.54;2.72
2025-05-08 14:53:56;209.05;2.39;0.59;2.95
2025-05-08 14:53:57;210.16;2.39;0.61;3.03
2025-05-08 14:53:58;211.26;2.38;0.63;3.17
2025-05-08 14:53:59;212.36;2.41;0.50;2.51
2025-05-08 14:54:00;213.46;2.39;0.57;2.85
2025-05-08 14:54:01;214.56;2.40;0.56;2.79
2025-05-08 14:54:02;215.66;2.40;0.56;2.81
2025-05-08 14:54:03;216.77;2.37;0.69;3.45
2025-05-08 14:54:05;217.87;2.39;0.59;2.95
2025-05-08 14:54:06;218.97;2.39;0.59;2.95
2025-05-08 14:54:07;220.07;2.39;0.62;3.08
2025-05-08 14:54:08;221.17;2.41;0.51;2.55
2025-05-08 14:54:09;222.28;2.39;0.61;3.05
2025-05-08 14:54:10;223.38;2.39;0.59;2.95
2025-05-08 14:54:11;224.48;2.41;0.50;2.48
2025-05-08 14:54:12;225.58;2.40;0.55;2.73
2025-05-08 14:54:13;226.68;2.40;0.55;2.75
2025-05-08 14:54:14;227.78;2.39;0.58;2.88
2025-05-08 14:54:16;228.89;2.39;0.60;3.00
2025-05-08 14:54:17;229.99;2.39;0.58;2.88
2025-05-08 14:54:18;231.09;2.39;0.57;2.85
2025-05-08 14:54:19;232.19;2.41;0.51;2.56
2025-05-08 14:54:20;233.29;2.39;0.61;3.03
2025-05-08 14:54:21;234.4;2.39;0.58;2.88
2025-05-08 14:54:22;235.49;2.40;0.54;2.68
2025-05-08 14:54:23;236.59;2.39;0.62;3.10
2025-05-08 14:54:24;237.7;2.39;0.58;2.92
2025-05-08 14:54:25;238.8;2.39;0.59;2.96
2025-05-08 14:54:27;239.9;2.38;0.64;3.22
2025-05-08 14:54:28;241.0;2.39;0.60;3.00
2025-05-08 14:54:29;242.1;2.38;0.64;3.21
2025-05-08 14:54:30;243.21;2.38;0.64;3.22
2025-05-08 14:54:31;244.31;2.38;0.66;3.30
2025-05-08 14:54:32;245.41;2.38;0.64;3.18
2025-05-08 14:54:33;246.51;2.40;0.56;2.79
2025-05-08 14:54:34;247.61;2.36;0.73;3.67
2025-05-08 14:54:35;248.71;2.36;0.75;3.74
2025-05-08 14:54:37;249.82;2.37;0.70;3.51
2025-05-08 14:54:38;250.92;2.39;0.60;3.00
2025-05-08 14:54:39;252.02;2.38;0.65;3.25
2025-05-08 14:54:40;253.12;2.39;0.59;2.97
2025-05-08 14:54:41;254.22;2.40;0.54;2.68
2025-05-08 14:54:42;255.32;2.40;0.56;2.81
2025-05-08 14:54:43;256.43;2.39;0.62;3.08
2025-05-08 14:54:44;257.53;2.39;0.62;3.08
2025-05-08 14:54:45;258.63;2.38;0.66;3.32
2025-05-08 14:54:46;259.73;2.39;0.59;2.96
2025-05-08 14:54:48;260.83;2.40;0.53;2.66
2025-05-08 14:54:49;261.94;2.40;0.55;2.76
2025-05-08 14:54:50;263.04;2.40;0.52;2.62
2025-05-08 14:54:51;264.14;2.39;0.60;3.00
2025-05-08 14:54:52;265.24;2.39;0.60;3.00
2025-05-08 14:54:53;266.34;2.40;0.52;2.60
2025-05-08 14:54:54;267.44;2.41;0.46;2.31
2025-05-08 14:54:55;268.55;2.40;0.52;2.62
2025-05-08 14:54:56;269.65;2.40;0.54;2.72
2025-05-08 14:54:57;270.75;2.41;0.50;2.52
2025-05-08 14:54:59;271.85;2.40;0.54;2.68
2025-05-08 14:55:00;272.95;2.41;0.48;2.42
2025-05-08 14:55:01;274.06;2.40;0.55;2.73
2025-05-08 14:55:02;275.16;2.40;0.55;2.77
2025-05-08 14:55:03;276.26;2.39;0.61;3.05
2025-05-08 14:55:04;277.36;2.39;0.58;2.92
2025-05-08 14:55:05;278.46;2.40;0.56;2.79
2025-05-08 14:55:06;279.56;2.40;0.53;2.63
2025-05-08 14:55:07;280.67;2.40;0.54;2.71
2025-05-08 14:55:08;281.77;2.40;0.52;2.60
2025-05-08 14:55:10;282.87;2.39;0.60;3.00
2025-05-08 14:55:11;283.97;2.40;0.54;2.71
2025-05-08 14:55:12;285.07;2.39;0.59;2.93
2025-05-08 14:55:13;286.18;2.40;0.56;2.80
2025-05-08 14:55:14;287.27;2.40;0.54;2.71
2025-05-08 14:55:15;288.37;2.38;0.67;3.37
2025-05-08 14:55:16;289.48;2.40;0.56;2.80
2025-05-08 14:55:17;290.58;2.40;0.52;2.60
2025-05-08 14:55:18;291.68;2.40;0.54;2.71
2025-05-08 14:55:19;292.78;2.39;0.61;3.05
2025-05-08 14:55:21;293.88;2.38;0.63;3.17
2025-05-08 14:55:22;294.99;2.39;0.59;2.95
2025-05-08 14:55:23;296.09;2.40;0.54;2.72
2025-05-08 14:55:24;297.19;2.40;0.55;2.75
2025-05-08 14:55:25;298.29;2.39;0.57;2.85
2025-05-08 14:55:26;299.39;2.38;0.67;3.36
2025-05-08 14:55:27;300.49;2.39;0.57;2.85
2025-05-08 14:55:28;301.6;2.39;0.59;2.97
2025-05-08 14:55:29;302.7;2.40;0.57;2.83
2025-05-08 14:55:30;303.8;2.39;0.59;2.96
2025-05-08 14:55:32;304.9;2.40;0.55;2.73
2025-05-08 14:55:33;306.0;2.40;0.52;2.60
2025-05-08 14:55:34;307.11;2.40;0.55;2.75
2025-05-08 14:55:35;308.21;2.39;0.58;2.92
2025-05-08 14:55:36;309.31;2.40;0.52;2.62
2025-05-08 14:55:37;310.41;2.40;0.52;2.62
2025-05-08 14:55:38;311.51;2.40;0.52;2.59
2025-05-08 14:55:39;312.61;2.39;0.57;2.85
2025-05-08 14:55:40;313.72;2.40;0.54;2.68
2025-05-08 14:55:42;314.82;2.41;0.50;2.48
2025-05-08 14:55:43;315.92;2.38;0.62;3.12
2025-05-08 14:55:44;317.02;2.40;0.57;2.83
2025-05-08 14:55:45;318.12;2.40;0.54;2.71
2025-05-08 14:55:46;319.22;2.41;0.50;2.52
2025-05-08 14:55:47;320.33;2.40;0.54;2.69
2025-05-08 14:55:48;321.43;2.40;0.52;2.62
2025-05-08 14:55:49;322.53;2.40;0.55;2.75
2025-05-08 14:55:50;323.63;2.40;0.56;2.80
2025-05-08 14:55:51;324.73;2.40;0.52;2.59
2025-05-08 14:55:53;325.84;2.39;0.58;2.89
2025-05-08 14:55:54;326.94;2.40;0.53;2.63
2025-05-08 14:55:55;328.04;2.41;0.49;2.43
2025-05-08 14:55:56;329.14;2.39;0.61;3.06
2025-05-08 14:55:57;330.24;2.38;0.65;3.24
2025-05-08 14:55:58;331.34;2.40;0.55;2.75
2025-05-08 14:55:59;332.45;2.37;0.69;3.46
2025-05-08 14:56:00;333.55;2.39;0.62;3.09
2025-05-08 14:56:01;334.65;2.39;0.59;2.93
2025-05-08 14:56:02;335.75;2.38;0.63;3.16
2025-05-08 14:56:04;336.85;2.40;0.53;2.67
2025-05-08 14:56:05;337.95;2.38;0.64;3.22
2025-05-08 14:56:06;339.06;2.39;0.61;3.05
2025-05-08 14:56:07;340.15;2.40;0.56;2.81
2025-05-08 14:56:08;341.26;2.40;0.53;2.67
2025-05-08 14:56:09;342.36;2.39;0.61;3.06
2025-05-08 14:56:10;343.46;2.39;0.59;2.97
2025-05-08 14:56:11;344.56;2.39;0.59;2.96
2025-05-08 14:56:12;345.66;2.40;0.55;2.73
2025-05-08 14:56:13;346.77;2.40;0.53;2.66
2025-05-08 14:56:15;347.87;2.39;0.58;2.88
2025-05-08 14:56:16;348.97;2.39;0.59;2.93
2025-05-08 14:56:17;350.07;2.40;0.53;2.66
2025-05-08 14:56:18;351.17;2.40;0.53;2.64
2025-05-08 14:56:19;352.27;2.40;0.52;2.62
2025-05-08 14:56:20;353.38;2.40;0.53;2.63
