Horodatage;Temps relatif (s);CPU (%);RAM (Mo);RAM (%);Réseau (Ko/s);Température (°C)
2025-05-08 14:50:26;0.0;0.5;538.5;19.4;1.4140625;56.9
2025-05-08 14:50:27;1.01;0.5;538.22;19.3;0.0;56.4
2025-05-08 14:50:28;2.02;0.0;537.79;19.3;0.0;56.4
2025-05-08 14:50:29;3.03;0.0;537.65;19.3;0.087890625;56.0
2025-05-08 14:50:30;4.03;0.0;537.65;19.3;0.0;56.0
2025-05-08 14:50:31;5.04;0.0;537.9;19.3;0.0;56.0
2025-05-08 14:50:32;6.05;0.0;538.41;19.3;1.26953125;56.0
2025-05-08 14:50:33;7.06;3.0;538.41;19.3;0.650390625;56.4
2025-05-08 14:50:34;8.08;2.0;537.89;19.3;0.158203125;56.0
2025-05-08 14:50:35;9.08;0.0;537.89;19.3;0.1025390625;56.0
2025-05-08 14:50:36;10.09;0.0;537.89;19.3;0.0;56.0
2025-05-08 14:50:37;11.1;0.0;537.89;19.3;0.0;56.0
2025-05-08 14:50:38;12.11;0.0;538.4;19.3;0.0703125;56.0
2025-05-08 14:50:39;13.12;0.5;538.4;19.3;1.501953125;55.5
2025-05-08 14:50:40;14.13;0.0;538.4;19.3;0.0;56.4
2025-05-08 14:50:41;15.14;0.0;538.4;19.3;0.0;55.5
2025-05-08 14:50:42;16.15;0.0;538.39;19.3;0.0;55.0
2025-05-08 14:50:43;17.16;0.5;538.39;19.3;0.115234375;55.0
2025-05-08 14:50:44;18.17;0.0;538.39;19.3;0.087890625;56.4
2025-05-08 14:50:45;19.18;0.0;538.39;19.3;0.0;56.0
2025-05-08 14:50:46;20.19;0.5;538.31;19.3;0.4560546875;55.5
2025-05-08 14:50:47;21.2;0.0;534.63;19.1;0.0;55.5
2025-05-08 14:50:48;22.2;0.0;534.63;19.1;0.0;56.0
2025-05-08 14:50:49;23.21;0.5;534.63;19.1;0.318359375;56.0
2025-05-08 14:50:50;24.22;0.5;534.63;19.1;0.0;55.5
2025-05-08 14:50:51;25.23;0.5;534.63;19.1;1.654296875;56.0
2025-05-08 14:50:52;26.24;0.0;534.62;19.1;0.0;56.0
2025-05-08 14:50:53;27.25;0.0;535.09;19.2;0.560546875;55.5
2025-05-08 14:50:54;28.26;0.5;535.09;19.2;0.087890625;56.0
2025-05-08 14:50:55;29.27;0.0;535.09;19.2;0.0;55.5
2025-05-08 14:50:56;30.28;0.0;535.09;19.2;0.0;56.0
