Timestamp,CPU Temperature (°C),Power (W),CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
00:00:00.000,50.7,2.3,14,13,0.0,Idle,Ransomware,Rex,Windows 10 VM,Prometheus,1
00:05:00.000,73.9,4.9,99,72,300.0,Attack,Ransomware,Rex,Windows 10 VM,Prometheus,1
00:10:00.000,55.2,2.6,22,16,600.0,Recovery,Ransomware,Rex,Windows 10 VM,Prometheus,1
