Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-05-25 12:08:15;41,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;6,4 W;3,2 W;0,0 W;6,1 %;57,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:08:17;40,0 °C;41,0 °C;40,0 °C;39,0 °C;47,0 °C;4,1 W;1,1 W;0,1 W;2,9 %;57,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:08:19;45,0 °C;43,0 °C;41,0 °C;40,0 °C;49,0 °C;6,2 W;3,0 W;0,0 W;6,4 %;56,9 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:08:21;40,0 °C;41,0 °C;41,0 °C;41,0 °C;47,0 °C;6,5 W;3,2 W;0,0 W;5,4 %;57,0 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:08:23;41,0 °C;41,0 °C;39,0 °C;41,0 °C;47,0 °C;6,1 W;2,9 W;0,0 W;5,7 %;57,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:08:25;40,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;4,7 W;1,5 W;0,1 W;3,8 %;57,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:08:27;45,0 °C;45,0 °C;40,0 °C;42,0 °C;46,0 °C;6,5 W;3,2 W;0,0 W;6,2 %;57,0 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:08:29;41,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;6,6 W;3,4 W;0,0 W;7,2 %;57,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:08:31;41,0 °C;41,0 °C;41,0 °C;41,0 °C;47,0 °C;4,3 W;1,3 W;0,1 W;2,9 %;57,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:08:33;42,0 °C;45,0 °C;41,0 °C;42,0 °C;49,0 °C;6,2 W;3,1 W;0,0 W;5,7 %;57,0 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:08:35;41,0 °C;42,0 °C;42,0 °C;40,0 °C;47,0 °C;7,0 W;3,6 W;0,0 W;6,4 %;57,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:08:37;42,0 °C;41,0 °C;41,0 °C;40,0 °C;47,0 °C;4,7 W;1,7 W;0,1 W;3,4 %;57,0 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:08:39;42,0 °C;41,0 °C;41,0 °C;41,0 °C;47,0 °C;7,1 W;3,8 W;0,0 W;6,4 %;57,0 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:08:41;40,0 °C;41,0 °C;40,0 °C;40,0 °C;47,0 °C;5,9 W;2,8 W;0,0 W;5,6 %;57,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:08:43;41,0 °C;41,0 °C;40,0 °C;40,0 °C;46,0 °C;4,0 W;1,0 W;0,1 W;0,8 %;57,0 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:08:45;40,0 °C;41,0 °C;40,0 °C;42,0 °C;47,0 °C;6,6 W;3,4 W;0,0 W;7,9 %;57,0 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:08:47;40,0 °C;43,0 °C;40,0 °C;41,0 °C;49,0 °C;4,4 W;1,4 W;0,1 W;2,6 %;57,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:08:49;40,0 °C;41,0 °C;40,0 °C;40,0 °C;49,0 °C;4,0 W;0,9 W;0,1 W;0,4 %;57,0 %;45,0 °C;0,0 %;2,4 %
2025-05-25 12:08:51;40,0 °C;40,0 °C;40,0 °C;40,0 °C;46,0 °C;3,8 W;1,0 W;0,1 W;1,0 %;57,0 %;45,0 °C;0,0 %;2,4 %
2025-05-25 12:08:53;40,0 °C;42,0 °C;40,0 °C;40,0 °C;47,0 °C;5,3 W;1,8 W;0,1 W;3,6 %;57,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:08:55;46,0 °C;49,0 °C;44,0 °C;47,0 °C;49,0 °C;14,4 W;9,7 W;0,1 W;13,7 %;57,6 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:08:57;40,0 °C;42,0 °C;41,0 °C;40,0 °C;47,0 °C;9,1 W;4,9 W;0,1 W;4,9 %;58,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:08:59;42,0 °C;45,0 °C;41,0 °C;41,0 °C;47,0 °C;6,0 W;2,8 W;0,0 W;5,7 %;58,1 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:09:01;42,0 °C;42,0 °C;41,0 °C;40,0 °C;47,0 °C;6,2 W;3,0 W;0,0 W;5,9 %;58,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:09:03;42,0 °C;42,0 °C;42,0 °C;42,0 °C;49,0 °C;8,7 W;4,7 W;0,1 W;7,0 %;58,1 %;0,0 °C;0,0 %;2,4 %
