Timestamp,CPU Temperature (°C),Power (W),CPU Usage (%),Memory Usage (Mo),Memory Usage (%)
00:00:00.000,49.8,2.2,12,179,11
00:05:00.000,70.5,4.4,93,755,68
00:10:00.000,53.3,2.3,20,207,15
