Timestamp,CPU Temperature (°C),Power (W),CPU Usage (%),Memory Usage (Mo),Memory Usage (%)
00:00:00.000,49.6,2.1,12,181,11
00:05:00.000,72.5,4.6,94,790,70
00:10:00.000,53.9,2.4,21,205,15
