Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
3.51,0.0,Idle,Denial of Service,Hping3 (SYN),HOSAFE HX-2PT1,ACS712,1
3.6,1.0,Attack,Denial of Service,Hping3 (SYN),HOSAFE HX-2PT1,ACS712,1
