Temps,Température (°C),Consommation (W),CPU (%),RAM (Mo),RAM (%)
00:00–04:59,49.6,2.1,12,181,11%
05:00–09:59,72.5,4.6,94,790,70%
10:00–14:59,53.9,2.4,21,205,15%
