Timestamp,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
03:32:56.878,44.3,22.2,2.64601,56.591,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:58.107,44.3,30.0,2.64806,57.82,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:32:59.335,43.3,22.2,2.65176,59.048,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:00.566,44.3,25.0,2.65676,60.279,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:01.796,44.3,30.0,2.65731,61.509,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:03.026,43.8,30.0,2.65541,62.739,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:04.255,44.3,14.3,2.65111,63.968,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:05.494,44.8,33.3,2.64926,65.207,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:06.738,44.3,22.2,2.65536,66.451,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:07.967,43.3,30.0,2.65296,67.68,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:09.196,44.3,22.2,2.65396,68.909,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:10.424,43.3,30.0,2.64896,70.137,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:11.653,44.3,22.2,2.65526,71.366,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:12.893,44.3,30.0,2.65081,72.606,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:14.134,44.3,22.2,2.65526,73.847,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:15.363,44.3,22.2,2.6228,75.076,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:16.595,43.3,37.5,2.62465,76.308,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:17.836,43.3,22.2,2.6309,77.549,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:19.071,44.3,25.0,2.6222,78.784,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:20.296,43.3,14.3,2.62905,80.009,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:21.526,43.8,33.3,2.6323,81.239,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:22.758,44.3,25.0,2.6323,82.471,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
