CPU Usage (%),GPU Usage (%),GPU Power (W),CPU Temperature (°C),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
10.0,1.0,10.0,50.0,19.0,0.0,Idle,Cryptojacking,T-Rex (GPU),Windows 11 i7 GeForce RTX 4060 Laptop,System,1
100.0,98.5,42.5,67.5,75.0,1.0,Attack,Cryptojacking,T-Rex (GPU),Windows 11 i7 GeForce RTX 4060 Laptop,System,1
