Relative Time (s),CPU Temperature (°C),Mode,Attack Type,Attack,Host,Measurement,Run
61.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
62.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
63.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
64.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
65.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
66.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
67.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
68.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
69.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
70.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
71.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
72.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
73.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
74.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
75.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
76.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
77.0,41.868,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
78.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
79.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
80.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
81.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
82.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
83.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
84.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
85.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
86.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
87.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
88.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
89.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
90.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
91.0,41.381,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
92.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
93.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
94.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
95.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
96.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
97.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
98.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
