Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
03:01:32.000,75.0,78.0,74.0,75.0,76.0,15.2,10.9,0.6,0.0,0.0,Attack,Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
03:01:34.000,76.0,74.0,71.0,74.0,76.0,11.7,8.2,0.0,0.0,2.0,Attack,Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
03:01:36.000,80.0,75.0,79.0,79.0,80.0,16.0,12.5,0.0,0.0,4.0,Attack,Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
03:01:38.000,75.0,75.0,73.0,73.0,75.0,14.3,10.8,0.0,0.0,6.0,Attack,Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
03:01:40.000,79.0,80.0,79.0,80.0,80.0,16.7,13.1,0.0,0.0,8.0,Attack,Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
03:01:42.000,75.0,75.0,75.0,76.0,76.0,16.6,13.0,0.0,0.0,10.0,Attack,Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
03:01:44.000,75.0,74.0,73.0,74.0,78.0,13.6,10.2,0.0,0.0,12.0,Attack,Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
03:01:46.000,77.0,78.0,78.0,77.0,78.0,14.3,10.9,0.0,0.0,14.0,Attack,Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
03:01:48.000,75.0,74.0,74.0,74.0,77.0,14.6,11.1,0.0,0.0,16.0,Attack,Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
03:01:50.000,75.0,79.0,79.0,78.0,79.0,15.8,12.3,0.0,0.0,18.0,Attack,Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
03:01:52.000,75.0,80.0,75.0,79.0,79.0,18.0,14.4,0.0,0.0,20.0,Attack,Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
03:01:54.000,75.0,74.0,73.0,75.0,75.0,16.7,13.1,0.0,0.0,22.0,Attack,Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
