Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
05:26:19.000,75.0,76.0,74.0,74.0,77.0,15.9,11.9,0.4,0.0,0.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:21.000,78.0,81.0,79.0,79.0,81.0,23.3,19.0,0.3,0.0,2.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:23.000,74.0,74.0,71.0,73.0,75.0,19.8,16.1,0.0,0.0,4.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:25.000,79.0,78.0,78.0,74.0,79.0,22.6,18.7,0.0,0.0,6.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:27.000,75.0,77.0,75.0,76.0,77.0,22.0,16.6,1.4,0.0,8.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:29.000,74.0,74.0,73.0,73.0,75.0,17.6,14.0,0.0,0.0,10.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:31.000,78.0,76.0,77.0,77.0,78.0,19.3,15.7,0.0,0.0,12.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:33.000,79.0,80.0,78.0,77.0,80.0,20.6,16.9,0.0,0.0,14.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:35.000,78.0,80.0,80.0,78.0,80.0,22.1,18.4,0.0,0.0,16.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:37.000,75.0,76.0,73.0,74.0,76.0,13.6,9.9,0.0,0.0,18.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:39.000,79.0,80.0,76.0,75.0,80.0,21.2,17.5,0.0,0.0,20.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:41.000,73.0,75.0,73.0,78.0,78.0,19.5,15.8,0.0,0.0,22.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:43.000,79.0,78.0,78.0,79.0,80.0,20.5,16.9,0.0,0.0,24.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:45.000,73.0,74.0,72.0,74.0,74.0,14.2,10.6,0.0,0.0,26.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:47.000,79.0,80.0,79.0,78.0,80.0,20.5,16.8,0.0,0.0,28.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:49.000,78.0,75.0,74.0,72.0,78.0,15.8,12.3,0.0,0.0,30.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:51.000,73.0,74.0,72.0,73.0,74.0,17.9,14.2,0.0,0.0,32.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:53.000,74.0,76.0,75.0,73.0,78.0,20.1,16.4,0.0,0.0,34.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:55.000,77.0,78.0,77.0,77.0,79.0,19.9,16.2,0.0,0.0,36.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:57.000,74.0,74.0,72.0,73.0,74.0,13.3,9.6,0.0,0.0,38.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:26:59.000,73.0,74.0,72.0,73.0,75.0,18.9,15.2,0.0,0.0,40.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:27:01.000,76.0,77.0,73.0,73.0,78.0,21.0,17.2,0.0,0.0,42.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:27:03.000,75.0,75.0,74.0,74.0,79.0,18.3,14.6,0.0,0.0,44.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:27:05.000,75.0,77.0,76.0,75.0,80.0,19.0,15.3,0.0,0.0,46.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
05:27:07.000,75.0,76.0,73.0,74.0,76.0,13.0,9.4,0.0,0.0,48.0,Attack,Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
