Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
09:42:33.000,76.0,80.0,79.0,75.0,80.0,21.4,16.7,0.5,0.0,0.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:42:36.000,77.0,80.0,80.0,77.0,80.0,21.2,16.5,0.5,0.0,3.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:42:39.000,77.0,80.0,80.0,77.0,80.0,22.2,17.6,0.4,0.0,6.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:42:42.000,73.0,75.0,74.0,73.0,75.0,18.4,13.8,0.4,0.0,9.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:42:45.000,74.0,76.0,74.0,73.0,76.0,18.8,14.0,0.6,0.0,12.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:42:48.000,75.0,76.0,76.0,73.0,76.0,18.7,13.9,0.1,72.0,15.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:42:51.000,74.0,76.0,76.0,74.0,76.0,18.2,13.8,0.2,0.0,18.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:42:54.000,74.0,76.0,74.0,74.0,76.0,18.3,13.8,0.4,0.0,21.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:42:57.000,78.0,80.0,80.0,78.0,80.0,24.2,20.0,0.0,0.0,24.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:43:00.000,78.0,81.0,81.0,78.0,81.0,24.5,20.4,0.0,0.0,27.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:43:03.000,79.0,81.0,81.0,79.0,81.0,25.0,20.8,0.0,0.0,30.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:43:06.000,74.0,77.0,75.0,73.0,77.0,18.0,13.9,0.0,0.0,33.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
