Horodatage;Timestamp (s);Tension (V);Courant (A);Puissance (W)
2025-04-13 21:14:12;0.0;2.33;0.90;4.52
2025-04-13 21:14:13;0.83;2.32;0.95;4.77
2025-04-13 21:14:14;1.94;2.33;0.90;4.49
2025-04-13 21:14:15;3.04;2.31;1.05;5.24
2025-04-13 21:14:16;4.14;2.33;0.91;4.56
2025-04-13 21:14:17;5.24;2.34;0.88;4.39
2025-04-13 21:14:18;6.34;2.32;0.95;4.74
2025-04-13 21:14:20;7.44;2.33;0.89;4.46
2025-04-13 21:14:21;8.55;2.32;0.95;4.77
2025-04-13 21:14:22;9.65;2.36;0.73;3.66
2025-04-13 21:14:23;10.75;2.34;0.87;4.33
2025-04-13 21:14:24;11.85;2.33;0.90;4.50
2025-04-13 21:14:25;12.95;2.33;0.92;4.62
2025-04-13 21:14:26;14.06;2.32;0.97;4.86
2025-04-13 21:14:27;15.16;2.35;0.81;4.07
2025-04-13 21:14:28;16.26;2.35;0.83;4.15
2025-04-13 21:14:29;17.36;2.34;0.85;4.25
2025-04-13 21:14:31;18.46;2.34;0.85;4.23
2025-04-13 21:14:32;19.56;2.34;0.89;4.44
2025-04-13 21:14:33;20.67;2.36;0.74;3.70
2025-04-13 21:14:34;21.77;2.34;0.89;4.43
2025-04-13 21:14:35;22.87;2.33;0.92;4.60
2025-04-13 21:14:36;23.97;2.35;0.83;4.15
2025-04-13 21:14:37;25.07;2.34;0.89;4.43
2025-04-13 21:14:38;26.17;2.36;0.76;3.80
2025-04-13 21:14:39;27.28;2.35;0.81;4.04
2025-04-13 21:14:41;28.38;2.33;0.92;4.61
2025-04-13 21:14:42;29.48;2.34;0.88;4.40
2025-04-13 21:14:43;30.58;2.33;0.91;4.53
2025-04-13 21:14:44;31.68;2.36;0.78;3.90
2025-04-13 21:14:45;32.78;2.34;0.88;4.41
2025-04-13 21:14:46;33.88;2.32;0.96;4.78
2025-04-13 21:14:47;34.99;2.33;0.92;4.62
2025-04-13 21:14:48;36.09;2.34;0.88;4.41
2025-04-13 21:14:49;37.19;2.35;0.79;3.94
2025-04-13 21:14:50;38.29;2.33;0.90;4.52
2025-04-13 21:14:52;39.39;2.34;0.87;4.35
2025-04-13 21:14:53;40.49;2.33;0.92;4.62
2025-04-13 21:14:54;41.6;2.33;0.90;4.50
2025-04-13 21:14:55;42.7;2.35;0.82;4.10
2025-04-13 21:14:56;43.8;2.33;0.92;4.62
2025-04-13 21:14:57;44.9;2.34;0.88;4.39
2025-04-13 21:14:58;46.0;2.34;0.85;4.25
2025-04-13 21:14:59;47.11;2.34;0.89;4.43
2025-04-13 21:15:00;48.21;2.35;0.82;4.08
2025-04-13 21:15:01;49.31;2.33;0.90;4.49
2025-04-13 21:15:03;50.41;2.34;0.89;4.44
2025-04-13 21:15:04;51.51;2.33;0.91;4.54
2025-04-13 21:15:05;52.61;2.34;0.87;4.33
2025-04-13 21:15:06;53.72;2.34;0.89;4.44
2025-04-13 21:15:07;54.82;2.32;0.95;4.77
2025-04-13 21:15:08;55.92;2.33;0.91;4.53
2025-04-13 21:15:09;57.02;2.34;0.87;4.37
2025-04-13 21:15:10;58.12;2.34;0.89;4.45
2025-04-13 21:15:11;59.22;2.35;0.82;4.08
2025-04-13 21:15:12;60.33;2.33;0.92;4.61
2025-04-13 21:15:14;61.43;2.34;0.88;4.40
2025-04-13 21:15:15;62.53;2.34;0.89;4.45
2025-04-13 21:15:16;63.63;2.33;0.90;4.48
2025-04-13 21:15:17;64.73;2.36;0.77;3.84
2025-04-13 21:15:18;65.84;2.34;0.88;4.40
2025-04-13 21:15:19;66.94;2.34;0.86;4.28
2025-04-13 21:15:20;68.04;2.33;0.94;4.68
2025-04-13 21:15:21;69.14;2.33;0.91;4.57
2025-04-13 21:15:22;70.24;2.34;0.85;4.27
2025-04-13 21:15:23;71.34;2.33;0.90;4.50
2025-04-13 21:15:25;72.45;2.34;0.87;4.37
2025-04-13 21:15:26;73.55;2.32;0.96;4.78
2025-04-13 21:15:27;74.65;2.33;0.94;4.70
2025-04-13 21:15:28;75.75;2.34;0.87;4.33
2025-04-13 21:15:29;76.85;2.31;1.00;5.01
2025-04-13 21:15:30;77.96;2.32;0.97;4.86
2025-04-13 21:15:31;79.06;2.33;0.89;4.46
2025-04-13 21:15:32;80.16;2.34;0.88;4.39
2025-04-13 21:15:33;81.26;2.34;0.87;4.33
2025-04-13 21:15:34;82.36;2.34;0.85;4.27
2025-04-13 21:15:36;83.46;2.34;0.85;4.27
2025-04-13 21:15:37;84.57;2.34;0.87;4.36
2025-04-13 21:15:38;85.67;2.34;0.86;4.32
2025-04-13 21:15:39;86.77;2.33;0.90;4.50
2025-04-13 21:15:40;87.87;2.34;0.85;4.25
2025-04-13 21:15:41;88.97;2.33;0.90;4.49
2025-04-13 21:15:42;90.08;2.33;0.92;4.58
2025-04-13 21:15:43;91.18;2.33;0.90;4.52
2025-04-13 21:15:44;92.28;2.34;0.88;4.40
2025-04-13 21:15:46;93.38;2.32;0.99;4.95
2025-04-13 21:15:47;94.48;2.32;0.99;4.94
2025-04-13 21:15:48;95.58;2.33;0.92;4.58
2025-04-13 21:15:49;96.69;2.33;0.91;4.53
2025-04-13 21:15:50;97.79;2.33;0.92;4.60
2025-04-13 21:15:51;98.89;2.33;0.91;4.57
2025-04-13 21:15:52;99.99;2.34;0.89;4.45
2025-04-13 21:15:53;101.09;2.33;0.92;4.60
2025-04-13 21:15:54;102.19;2.33;0.95;4.73
2025-04-13 21:15:55;103.3;2.33;0.94;4.70
2025-04-13 21:15:57;104.4;2.31;1.04;5.18
2025-04-13 21:15:58;105.5;2.33;0.94;4.69
2025-04-13 21:15:59;106.6;2.32;0.96;4.78
2025-04-13 21:16:00;107.7;2.33;0.90;4.52
2025-04-13 21:16:01;108.81;2.33;0.93;4.66
2025-04-13 21:16:02;109.91;2.34;0.89;4.44
2025-04-13 21:16:03;111.01;2.33;0.89;4.46
2025-04-13 21:16:04;112.11;2.34;0.89;4.44
2025-04-13 21:16:05;113.21;2.32;0.97;4.86
2025-04-13 21:16:06;114.31;2.32;0.99;4.93
