Timestamp,CPU Temperature (°C),Power (W),CPU Usage (%),Memory Usage (Mo),Memory Usage (%)
00:00:00.000,49.3,2.2,13,183,12
00:05:00.000,72.6,4.8,98,794,71
00:10:00.000,53.8,2.5,21,208,16
