Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
2.9,0.0,Idle,Denial of Service,Hping3 (SYN),D-Link DIR-822,Kuman KW47,1
4.4,1.0,Attack,Denial of Service,Hping3 (SYN),D-Link DIR-822,Kuman KW47,1
