Timestamp;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;CPU Package;CPU Package Power;CPU Cores Power;CPU Graphics Power;GPU Core
2025-04-03 05:26:19;75,0 °C;76,0 °C;74,0 °C;74,0 °C;77,0 °C;15,9 W;11,9 W;0,4 W;0,0 °C
2025-04-03 05:26:21;78,0 °C;81,0 °C;79,0 °C;79,0 °C;81,0 °C;23,3 W;19,0 W;0,3 W;0,0 °C
2025-04-03 05:26:23;74,0 °C;74,0 °C;71,0 °C;73,0 °C;75,0 °C;19,8 W;16,1 W;0,0 W;0,0 °C
2025-04-03 05:26:25;79,0 °C;78,0 °C;78,0 °C;74,0 °C;79,0 °C;22,6 W;18,7 W;0,0 W;0,0 °C
2025-04-03 05:26:27;75,0 °C;77,0 °C;75,0 °C;76,0 °C;77,0 °C;22,0 W;16,6 W;1,4 W;0,0 °C
2025-04-03 05:26:29;74,0 °C;74,0 °C;73,0 °C;73,0 °C;75,0 °C;17,6 W;14,0 W;0,0 W;0,0 °C
2025-04-03 05:26:31;78,0 °C;76,0 °C;77,0 °C;77,0 °C;78,0 °C;19,3 W;15,7 W;0,0 W;0,0 °C
2025-04-03 05:26:33;79,0 °C;80,0 °C;78,0 °C;77,0 °C;80,0 °C;20,6 W;16,9 W;0,0 W;0,0 °C
2025-04-03 05:26:35;78,0 °C;80,0 °C;80,0 °C;78,0 °C;80,0 °C;22,1 W;18,4 W;0,0 W;0,0 °C
2025-04-03 05:26:37;75,0 °C;76,0 °C;73,0 °C;74,0 °C;76,0 °C;13,6 W;9,9 W;0,0 W;0,0 °C
2025-04-03 05:26:39;79,0 °C;80,0 °C;76,0 °C;75,0 °C;80,0 °C;21,2 W;17,5 W;0,0 W;0,0 °C
2025-04-03 05:26:41;73,0 °C;75,0 °C;73,0 °C;78,0 °C;78,0 °C;19,5 W;15,8 W;0,0 W;0,0 °C
2025-04-03 05:26:43;79,0 °C;78,0 °C;78,0 °C;79,0 °C;80,0 °C;20,5 W;16,9 W;0,0 W;0,0 °C
2025-04-03 05:26:45;73,0 °C;74,0 °C;72,0 °C;74,0 °C;74,0 °C;14,2 W;10,6 W;0,0 W;0,0 °C
2025-04-03 05:26:47;79,0 °C;80,0 °C;79,0 °C;78,0 °C;80,0 °C;20,5 W;16,8 W;0,0 W;0,0 °C
2025-04-03 05:26:49;78,0 °C;75,0 °C;74,0 °C;72,0 °C;78,0 °C;15,8 W;12,3 W;0,0 W;0,0 °C
2025-04-03 05:26:51;73,0 °C;74,0 °C;72,0 °C;73,0 °C;74,0 °C;17,9 W;14,2 W;0,0 W;0,0 °C
2025-04-03 05:26:53;74,0 °C;76,0 °C;75,0 °C;73,0 °C;78,0 °C;20,1 W;16,4 W;0,0 W;0,0 °C
2025-04-03 05:26:55;77,0 °C;78,0 °C;77,0 °C;77,0 °C;79,0 °C;19,9 W;16,2 W;0,0 W;0,0 °C
2025-04-03 05:26:57;74,0 °C;74,0 °C;72,0 °C;73,0 °C;74,0 °C;13,3 W;9,6 W;0,0 W;0,0 °C
2025-04-03 05:26:59;73,0 °C;74,0 °C;72,0 °C;73,0 °C;75,0 °C;18,9 W;15,2 W;0,0 W;0,0 °C
2025-04-03 05:27:01;76,0 °C;77,0 °C;73,0 °C;73,0 °C;78,0 °C;21,0 W;17,2 W;0,0 W;0,0 °C
2025-04-03 05:27:03;75,0 °C;75,0 °C;74,0 °C;74,0 °C;79,0 °C;18,3 W;14,6 W;0,0 W;0,0 °C
2025-04-03 05:27:05;75,0 °C;77,0 °C;76,0 °C;75,0 °C;80,0 °C;19,0 W;15,3 W;0,0 W;0,0 °C
2025-04-03 05:27:07;75,0 °C;76,0 °C;73,0 °C;74,0 °C;76,0 °C;13,0 W;9,4 W;0,0 W;0,0 °C
2025-04-03 05:27:09;79,0 °C;82,0 °C;76,0 °C;74,0 °C;81,0 °C;21,8 W;18,0 W;0,0 W;0,0 °C
2025-04-03 05:27:11;76,0 °C;77,0 °C;75,0 °C;73,0 °C;77,0 °C;13,6 W;9,9 W;0,0 W;0,0 °C
2025-04-03 05:27:14;75,0 °C;79,0 °C;77,0 °C;79,0 °C;80,0 °C;16,5 W;12,8 W;0,0 W;0,0 °C
2025-04-03 05:27:16;75,0 °C;77,0 °C;74,0 °C;74,0 °C;77,0 °C;17,5 W;13,9 W;0,0 W;0,0 °C
2025-04-03 05:27:18;79,0 °C;81,0 °C;75,0 °C;75,0 °C;81,0 °C;21,4 W;17,6 W;0,0 W;0,0 °C
2025-04-03 05:27:20;79,0 °C;80,0 °C;80,0 °C;78,0 °C;80,0 °C;18,5 W;14,9 W;0,0 W;0,0 °C
2025-04-03 05:27:22;74,0 °C;75,0 °C;72,0 °C;74,0 °C;75,0 °C;19,6 W;15,9 W;0,0 W;0,0 °C
2025-04-03 05:27:24;75,0 °C;79,0 °C;78,0 °C;75,0 °C;80,0 °C;21,3 W;17,6 W;0,0 W;0,0 °C
2025-04-03 05:27:26;73,0 °C;75,0 °C;73,0 °C;74,0 °C;75,0 °C;13,6 W;9,9 W;0,0 W;0,0 °C
2025-04-03 05:27:28;79,0 °C;81,0 °C;73,0 °C;73,0 °C;81,0 °C;20,9 W;17,1 W;0,0 W;0,0 °C
2025-04-03 05:27:30;76,0 °C;77,0 °C;75,0 °C;80,0 °C;80,0 °C;18,8 W;15,1 W;0,0 W;0,0 °C
2025-04-03 05:27:32;74,0 °C;75,0 °C;73,0 °C;73,0 °C;77,0 °C;18,2 W;14,6 W;0,0 W;0,0 °C
2025-04-03 05:27:34;74,0 °C;75,0 °C;72,0 °C;73,0 °C;75,0 °C;12,5 W;9,0 W;0,0 W;0,0 °C
2025-04-03 05:27:36;74,0 °C;77,0 °C;74,0 °C;74,0 °C;78,0 °C;20,1 W;16,4 W;0,0 W;0,0 °C
2025-04-03 05:27:38;78,0 °C;80,0 °C;79,0 °C;79,0 °C;80,0 °C;17,0 W;13,4 W;0,0 W;0,0 °C
2025-04-03 05:27:40;75,0 °C;76,0 °C;74,0 °C;72,0 °C;76,0 °C;18,7 W;15,1 W;0,0 W;0,0 °C
