Timestamp;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;CPU Package;CPU Package Power;CPU Cores Power;CPU Graphics Power;GPU Core
2025-04-03 03:01:32;75,0 °C;78,0 °C;74,0 °C;75,0 °C;76,0 °C;15,2 W;10,9 W;0,6 W;0,0 °C
2025-04-03 03:01:34;76,0 °C;74,0 °C;71,0 °C;74,0 °C;76,0 °C;11,7 W;8,2 W;0,0 W;0,0 °C
2025-04-03 03:01:36;80,0 °C;75,0 °C;79,0 °C;79,0 °C;80,0 °C;16,0 W;12,5 W;0,0 W;0,0 °C
2025-04-03 03:01:38;75,0 °C;75,0 °C;73,0 °C;73,0 °C;75,0 °C;14,3 W;10,8 W;0,0 W;0,0 °C
2025-04-03 03:01:40;79,0 °C;80,0 °C;79,0 °C;80,0 °C;80,0 °C;16,7 W;13,1 W;0,0 W;0,0 °C
2025-04-03 03:01:42;75,0 °C;75,0 °C;75,0 °C;76,0 °C;76,0 °C;16,6 W;13,0 W;0,0 W;0,0 °C
2025-04-03 03:01:44;75,0 °C;74,0 °C;73,0 °C;74,0 °C;78,0 °C;13,6 W;10,2 W;0,0 W;0,0 °C
2025-04-03 03:01:46;77,0 °C;78,0 °C;78,0 °C;77,0 °C;78,0 °C;14,3 W;10,9 W;0,0 W;0,0 °C
2025-04-03 03:01:48;75,0 °C;74,0 °C;74,0 °C;74,0 °C;77,0 °C;14,6 W;11,1 W;0,0 W;0,0 °C
2025-04-03 03:01:50;75,0 °C;79,0 °C;79,0 °C;78,0 °C;79,0 °C;15,8 W;12,3 W;0,0 W;0,0 °C
2025-04-03 03:01:52;75,0 °C;80,0 °C;75,0 °C;79,0 °C;79,0 °C;18,0 W;14,4 W;0,0 W;0,0 °C
2025-04-03 03:01:54;75,0 °C;74,0 °C;73,0 °C;75,0 °C;75,0 °C;16,7 W;13,1 W;0,0 W;0,0 °C
2025-04-03 03:01:56;75,0 °C;77,0 °C;76,0 °C;77,0 °C;77,0 °C;18,3 W;14,6 W;0,0 W;0,0 °C
2025-04-03 03:01:58;74,0 °C;75,0 °C;73,0 °C;74,0 °C;78,0 °C;14,8 W;11,3 W;0,0 W;0,0 °C
2025-04-03 03:02:00;77,0 °C;75,0 °C;76,0 °C;76,0 °C;77,0 °C;16,3 W;12,8 W;0,0 W;0,0 °C
2025-04-03 03:02:02;77,0 °C;78,0 °C;79,0 °C;80,0 °C;80,0 °C;17,5 W;13,9 W;0,0 W;0,0 °C
2025-04-03 03:02:04;75,0 °C;79,0 °C;80,0 °C;78,0 °C;80,0 °C;16,8 W;13,3 W;0,0 W;0,0 °C
2025-04-03 03:02:06;73,0 °C;74,0 °C;76,0 °C;73,0 °C;78,0 °C;16,8 W;13,2 W;0,0 W;0,0 °C
2025-04-03 03:02:08;74,0 °C;76,0 °C;73,0 °C;74,0 °C;77,0 °C;14,8 W;11,3 W;0,0 W;0,0 °C
2025-04-03 03:02:10;74,0 °C;74,0 °C;73,0 °C;72,0 °C;74,0 °C;14,7 W;11,2 W;0,0 W;0,0 °C
2025-04-03 03:02:12;74,0 °C;75,0 °C;73,0 °C;73,0 °C;75,0 °C;15,6 W;12,1 W;0,0 W;0,0 °C
2025-04-03 03:02:14;74,0 °C;75,0 °C;72,0 °C;73,0 °C;76,0 °C;18,4 W;14,8 W;0,0 W;0,0 °C
2025-04-03 03:02:16;78,0 °C;78,0 °C;78,0 °C;78,0 °C;78,0 °C;15,1 W;11,6 W;0,0 W;0,0 °C
2025-04-03 03:02:18;75,0 °C;76,0 °C;73,0 °C;75,0 °C;77,0 °C;17,7 W;14,1 W;0,0 W;0,0 °C
2025-04-03 03:02:20;75,0 °C;76,0 °C;74,0 °C;74,0 °C;77,0 °C;17,8 W;14,2 W;0,1 W;0,0 °C
2025-04-03 03:02:22;73,0 °C;75,0 °C;74,0 °C;75,0 °C;78,0 °C;16,1 W;12,5 W;0,0 W;0,0 °C
2025-04-03 03:02:24;78,0 °C;79,0 °C;78,0 °C;76,0 °C;79,0 °C;13,9 W;10,4 W;0,0 W;0,0 °C
2025-04-03 03:02:26;73,0 °C;75,0 °C;77,0 °C;74,0 °C;78,0 °C;18,9 W;15,2 W;0,0 W;0,0 °C
2025-04-03 03:02:28;74,0 °C;75,0 °C;73,0 °C;73,0 °C;75,0 °C;16,5 W;13,0 W;0,0 W;0,0 °C
2025-04-03 03:02:30;75,0 °C;78,0 °C;75,0 °C;75,0 °C;79,0 °C;18,8 W;15,1 W;0,0 W;0,0 °C
2025-04-03 03:02:32;75,0 °C;75,0 °C;73,0 °C;73,0 °C;75,0 °C;16,9 W;13,3 W;0,0 W;0,0 °C
2025-04-03 03:02:34;75,0 °C;75,0 °C;74,0 °C;73,0 °C;77,0 °C;17,7 W;14,1 W;0,0 W;0,0 °C
2025-04-03 03:02:36;78,0 °C;78,0 °C;77,0 °C;75,0 °C;78,0 °C;15,4 W;11,9 W;0,0 W;0,0 °C
2025-04-03 03:02:38;73,0 °C;74,0 °C;71,0 °C;72,0 °C;74,0 °C;12,5 W;9,1 W;0,0 W;0,0 °C
2025-04-03 03:02:40;79,0 °C;75,0 °C;72,0 °C;78,0 °C;79,0 °C;15,1 W;11,6 W;0,0 W;0,0 °C
2025-04-03 03:02:42;74,0 °C;74,0 °C;73,0 °C;72,0 °C;78,0 °C;17,3 W;13,7 W;0,0 W;0,0 °C
2025-04-03 03:02:44;76,0 °C;75,0 °C;73,0 °C;73,0 °C;76,0 °C;20,5 W;16,8 W;0,0 W;0,0 °C
