Timestamp;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;CPU Package;CPU Package Power;CPU Cores Power;CPU Graphics Power;GPU Core
2025-04-03 04:52:40;72,0 °C;74,0 °C;70,0 °C;71,0 °C;74,0 °C;29,3 W;24,3 W;0,8 W;0,0 °C
2025-04-03 04:52:42;73,0 °C;74,0 °C;70,0 °C;72,0 °C;73,0 °C;22,5 W;18,1 W;0,5 W;0,0 °C
2025-04-03 04:52:44;68,0 °C;71,0 °C;68,0 °C;69,0 °C;71,0 °C;23,6 W;19,1 W;0,5 W;0,0 °C
2025-04-03 04:52:46;72,0 °C;75,0 °C;71,0 °C;72,0 °C;75,0 °C;24,3 W;20,1 W;0,2 W;0,0 °C
2025-04-03 04:52:48;73,0 °C;75,0 °C;72,0 °C;72,0 °C;75,0 °C;24,1 W;20,2 W;0,0 W;0,0 °C
2025-04-03 04:52:50;68,0 °C;70,0 °C;67,0 °C;68,0 °C;71,0 °C;20,0 W;16,2 W;0,0 W;0,0 °C
2025-04-03 04:52:52;73,0 °C;74,0 °C;72,0 °C;72,0 °C;74,0 °C;20,7 W;16,9 W;0,0 W;0,0 °C
2025-04-03 04:52:54;71,0 °C;72,0 °C;69,0 °C;70,0 °C;72,0 °C;23,9 W;19,6 W;0,3 W;0,0 °C
2025-04-03 04:52:56;74,0 °C;77,0 °C;69,0 °C;73,0 °C;77,0 °C;21,8 W;17,9 W;0,0 W;0,0 °C
2025-04-03 04:52:58;73,0 °C;76,0 °C;74,0 °C;72,0 °C;76,0 °C;19,8 W;16,0 W;0,0 W;0,0 °C
2025-04-03 04:53:00;71,0 °C;73,0 °C;73,0 °C;74,0 °C;75,0 °C;18,2 W;14,6 W;0,0 W;0,0 °C
2025-04-03 04:53:02;69,0 °C;72,0 °C;69,0 °C;73,0 °C;73,0 °C;22,6 W;18,6 W;0,0 W;0,0 °C
2025-04-03 04:53:04;69,0 °C;69,0 °C;67,0 °C;68,0 °C;72,0 °C;20,5 W;16,7 W;0,0 W;0,0 °C
2025-04-03 04:53:06;70,0 °C;71,0 °C;67,0 °C;70,0 °C;74,0 °C;22,2 W;18,4 W;0,0 W;0,0 °C
2025-04-03 04:53:08;76,0 °C;77,0 °C;72,0 °C;73,0 °C;77,0 °C;24,0 W;20,0 W;0,0 W;0,0 °C
2025-04-03 04:53:10;75,0 °C;77,0 °C;74,0 °C;74,0 °C;77,0 °C;22,4 W;18,5 W;0,0 W;0,0 °C
2025-04-03 04:53:12;76,0 °C;78,0 °C;75,0 °C;75,0 °C;78,0 °C;21,0 W;17,1 W;0,0 W;0,0 °C
2025-04-03 04:53:14;73,0 °C;75,0 °C;75,0 °C;72,0 °C;77,0 °C;27,9 W;23,9 W;0,0 W;0,0 °C
2025-04-03 04:53:16;71,0 °C;72,0 °C;77,0 °C;71,0 °C;77,0 °C;23,2 W;19,3 W;0,0 W;0,0 °C
2025-04-03 04:53:18;76,0 °C;75,0 °C;74,0 °C;72,0 °C;76,0 °C;24,3 W;20,3 W;0,0 W;0,0 °C
2025-04-03 04:53:20;76,0 °C;77,0 °C;75,0 °C;75,0 °C;77,0 °C;24,2 W;20,2 W;0,0 W;0,0 °C
2025-04-03 04:53:22;75,0 °C;75,0 °C;74,0 °C;74,0 °C;75,0 °C;18,7 W;14,9 W;0,0 W;0,0 °C
2025-04-03 04:53:24;77,0 °C;73,0 °C;71,0 °C;70,0 °C;76,0 °C;17,4 W;13,7 W;0,0 W;0,0 °C
2025-04-03 04:53:26;71,0 °C;72,0 °C;69,0 °C;70,0 °C;74,0 °C;24,0 W;20,1 W;0,0 W;0,0 °C
2025-04-03 04:53:28;75,0 °C;74,0 °C;71,0 °C;72,0 °C;76,0 °C;21,9 W;18,0 W;0,0 W;0,0 °C
2025-04-03 04:53:30;71,0 °C;73,0 °C;70,0 °C;71,0 °C;74,0 °C;19,3 W;15,5 W;0,0 W;0,0 °C
