Temps,Température (°C),Consommation (W),CPU (%),RAM (Mo),RAM (%)
00:00–04:59,49.2,2.2,12,182,12%
05:00–09:59,73.3,4.8,96,799,71%
10:00–14:59,54.0,2.5,22,210,16%
