Temps,Température (°C),Consommation (W),CPU (%),RAM (Mo),RAM (%)
00:00–04:59,49.3,2.2,13,183,12%
05:00–09:59,72.6,4.8,98,794,71%
10:00–14:59,53.8,2.5,21,208,16%
