Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
1.64,0.0,Idle,Denial of Service,Hping3 (SYN),Huawei H151-381,ACS712,1
2.02,1.0,Attack,Denial of Service,Hping3 (SYN),Huawei H151-381,ACS712,1
