Attack Type,Attack,Host,Run,Mode,CPU Usage (%),CPU Temperature (°C),Power (W),Memory Usage (%),Voltage (V),Voltage Adjusted (V),Current (A),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C),GPU Usage (%),GPU Memory Usage (%),GPU Power (W),CPU Usage User (%),CPU Usage System (%),CPU Usage Wait (%),Processes Runnable,Processes Blocked,Process Switches,Process Forks,Process Execs,Network lo Received (Ko/s),Network eth0 Received (Ko/s),Network wlan0 Received (Ko/s),Network lo Sent (Ko/s),Network eth0 Sent (Ko/s),Network wlan0 Sent (Ko/s),Network Packet lo Received,Network Packet eth0 Received,Network Packet wlan0 Received,Network Packet lo Sent,Network Packet eth0 Sent,Network Packet wlan0 Sent,Disk mmcblk0 Usage (%),Disk mmcblk0p1 Usage (%),Disk mmcblk0p2 Usage (%),Disk mmcblk0 Read (Ko/s),Disk mmcblk0p1 Read (Ko/s),Disk mmcblk0p2 Read (Ko/s),Disk mmcblk0 Write (Ko/s),Disk mmcblk0p1 Write (Ko/s),Disk mmcblk0p2 Write (Ko/s),Disk mmcblk0 Block Size (Ko),Disk mmcblk0p1 Block Size (Ko),Disk mmcblk0p2 Block Size (Ko),Disk mmcblk0 Transfers,Disk mmcblk0p1 Transfers,Disk mmcblk0p2 Transfers,JFS dev Usage (%),JFS run Usage (%),JFS Usage (%),JFS boot/firmware Usage (%),Memory Active (%),Memory Buffers (%),Memory Cached (%),Memory Inactive (%),Disk mmcblk1 Usage (%),Disk mmcblk1p1 Usage (%),Disk mmcblk1p2 Usage (%),Disk mmcblk1 Read (Ko/s),Disk mmcblk1p1 Read (Ko/s),Disk mmcblk1p2 Read (Ko/s),Disk mmcblk1 Write (Ko/s),Disk mmcblk1p1 Write (Ko/s),Disk mmcblk1p2 Write (Ko/s),Disk mmcblk1 Block Size (Ko),Disk mmcblk1p1 Block Size (Ko),Disk mmcblk1p2 Block Size (Ko),Disk mmcblk1 Transfers,Disk mmcblk1p1 Transfers,Disk mmcblk1p2 Transfers,Network (Ko/s),Disk Read (Mo/s),Disk Write (Mo/s),Encrypted Files,Encrypted Disk Usage (%),Encrypted Files Size (Mo),Encryption Speed (o/s)
Cryptojacking,CoinIMP (CPU) (10%),ASUS Zenbook UX51VZ,1,Attack,,61.22,,,,,,60.28,60.21,58.16,59.91,8.47,5.58,0.01,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (10%),ASUS Zenbook UX51VZ,1,Idle,,42.0,,,,,,41.36,41.29,41.25,41.56,3.57,1.13,0.01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,1,Attack,,79.57,,,,,,77.77,79.45,78.74,77.31,17.7,13.68,0.01,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,1,Idle,,42.0,,,,,,41.36,41.29,41.25,41.56,3.57,1.13,0.01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple M1 Pro,1,Attack,100.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple M1 Pro,1,Idle,12.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Attack,39.4,65.26,62.99,54.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,5.08,41.4,19.02,44.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_browser_open,4.18,42.44,18.66,52.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,5.95,39.54,,45.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Recovery,3.44,49.29,18.86,52.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Attack,98.1,77.32,4.91,46.42,2.52,0.1,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,25.1,50.31,0.8,18.28,2.43,0.02,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle_browser_open,32.09,52.19,1.9,42.05,2.45,0.04,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Recovery,25.65,59.29,2.28,18.12,2.46,0.05,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,,70.42,,,,,,68.37,69.46,67.55,68.56,13.61,10.02,0.25,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Idle,,42.0,,,,,,41.36,41.29,41.25,41.56,3.57,1.13,0.01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,,76.83,,,,,,74.81,75.65,73.81,74.59,16.3,12.76,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Idle,,42.0,,,,,,41.36,41.29,41.25,41.56,3.57,1.13,0.01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,,77.79,,,,,,75.48,77.14,74.9,75.09,16.67,13.04,0.01,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Idle,,42.0,,,,,,41.36,41.29,41.25,41.56,3.57,1.13,0.01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,,77.57,,,,,,75.35,77.0,74.8,75.13,17.97,14.33,0.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Idle,,42.0,,,,,,41.36,41.29,41.25,41.56,3.57,1.13,0.01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,1,Attack,20.13,69.71,,83.87,,,,64.46,65.74,64.3,64.81,24.74,18.63,0.04,57.35,40.53,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,1,Idle,9.44,59.22,,46.97,,,,53.26,53.87,52.06,52.3,15.35,10.78,0.01,4.26,0.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,1,Recovery,9.41,60.35,,27.71,,,,54.27,55.98,53.98,53.42,15.22,10.53,0.02,3.68,0.05,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,NBMiner (GPU),HP Victus 16-d0417nf,1,Attack,2.01,62.97,,64.5,,,,57.74,58.42,57.35,57.01,14.55,8.8,0.03,53.83,80.48,79.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,5.75,57.26,,56.17,,,,50.01,51.71,49.46,50.5,15.17,11.26,0.03,2.27,0.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,NBMiner (GPU),HP Victus 16-d0417nf,1,Recovery,6.13,62.2,,55.41,,,,54.23,55.65,54.49,54.52,16.84,12.83,0.02,4.81,7.69,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,NiceHash (GPU),HP Victus 16-d0417nf,1,Attack,1.7,62.52,,65.52,,,,57.18,58.53,56.79,56.47,8.3,3.54,0.09,63.53,92.49,77.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,6.35,59.08,,64.22,,,,53.46,54.37,51.08,50.2,16.95,12.49,0.07,12.69,0.14,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,NiceHash (GPU),HP Victus 16-d0417nf,1,Recovery,6.1,62.69,,62.28,,,,56.66,56.33,53.48,51.9,15.73,11.33,0.04,3.46,0.25,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Attack,30.55,51.6,,69.99,,,,47.63,50.21,47.53,48.78,12.81,8.33,0.03,49.04,87.15,74.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,8.46,46.94,,65.13,,,,40.53,41.16,40.2,40.43,6.43,2.48,0.1,33.92,0.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Recovery,10.44,46.23,,65.29,,,,39.97,40.89,39.77,39.91,6.37,2.91,0.06,35.64,8.39,9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Attack,11.71,72.7,,75.8,,,,59.99,61.45,63.07,63.89,18.19,13.31,0.04,62.98,91.91,45.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,11.24,51.99,,73.19,,,,45.34,46.22,45.19,45.34,15.84,11.71,0.0,2.72,0.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Recovery,12.1,60.64,,77.47,,,,54.81,55.04,54.24,53.79,16.85,12.52,0.01,5.27,3.24,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,1,Attack,89.36,83.93,,77.03,,,,81.36,83.89,82.59,82.06,22.25,15.95,2.32,57.8,47.65,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,6.06,58.25,,51.25,,,,57.24,57.23,56.47,57.33,5.11,2.45,0.06,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,T-Rex (GPU),Windows 11 i7 GeForce RTX 4060 Laptop,1,Attack,100.0,67.5,,75.0,,,,,,,,,,,,98.5,,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,T-Rex (GPU),Windows 11 i7 GeForce RTX 4060 Laptop,1,Idle,10.0,50.0,,19.0,,,,,,,,,,,,1.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,1,Attack,4.51,48.56,,60.71,,,,42.58,43.37,42.6,42.43,7.06,3.25,0.06,46.55,89.78,70.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,3.41,44.78,,57.72,,,,38.78,39.26,37.55,38.18,5.01,1.94,0.05,28.56,0.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,1,Recovery,4.0,48.3,,57.81,,,,41.83,42.52,41.5,41.52,5.91,2.51,0.06,33.16,10.16,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 3B 1GB,1,Attack,100.0,84.4,,37.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 3B 1GB,1,Idle,1.12,50.5,,17.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 2GB,1,Attack,100.0,81.3,,23.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 2GB,1,Idle,0.5,43.8,,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,1,Attack,100.0,,,29.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,1,Idle,0.1,,,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,2,Attack,100.0,,,70.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,2,Idle,1.1,,,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,3,Attack,100.0,83.7,,83.75,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,3,Idle,1.0,55.0,,11.08,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 5,1,Attack,100.0,63.63,,86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 5,1,Idle,1.2,48.18,,27.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,1,Attack,10.33,80.57,,66.11,,,,74.93,69.98,65.72,63.24,20.38,15.54,0.02,62.81,92.13,86.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,1,Idle,8.54,54.8,,65.11,,,,50.38,49.46,46.18,46.5,13.22,9.08,0.06,5.01,21.67,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,1,Recovery,8.96,59.94,,63.11,,,,52.99,55.68,50.42,50.48,13.87,9.63,0.05,3.0,16.8,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,1,Attack,15.81,75.92,,68.54,,,,64.91,72.02,59.47,60.74,24.78,20.06,0.08,42.92,0.36,51.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,1,Idle,12.27,63.43,,65.46,,,,56.06,59.21,51.61,52.1,18.85,14.51,0.05,4.11,0.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,1,Recovery,16.01,73.75,,68.36,,,,65.7,69.5,59.8,57.2,25.24,20.72,0.11,29.15,0.0,37.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
