Attack Type,Attack,Host,Run,Mode,CPU Usage (%),CPU Temperature (°C),Power (W),Memory Usage (%),Voltage (V),Voltage Adjusted (V),Current (A),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C),GPU Usage (%),GPU Memory Usage (%),GPU Power (W),CPU Usage User (%),CPU Usage System (%),CPU Usage Wait (%),Processes Runnable,Processes Blocked,Process Switches,Process Forks,Process Execs,Network lo Received (Ko/s),Network eth0 Received (Ko/s),Network wlan0 Received (Ko/s),Network lo Sent (Ko/s),Network eth0 Sent (Ko/s),Network wlan0 Sent (Ko/s),Network Packet lo Received,Network Packet eth0 Received,Network Packet wlan0 Received,Network Packet lo Sent,Network Packet eth0 Sent,Network Packet wlan0 Sent,Disk mmcblk0 Usage (%),Disk mmcblk0p1 Usage (%),Disk mmcblk0p2 Usage (%),Disk mmcblk0 Read (Ko/s),Disk mmcblk0p1 Read (Ko/s),Disk mmcblk0p2 Read (Ko/s),Disk mmcblk0 Write (Ko/s),Disk mmcblk0p1 Write (Ko/s),Disk mmcblk0p2 Write (Ko/s),Disk mmcblk0 Block Size (Ko),Disk mmcblk0p1 Block Size (Ko),Disk mmcblk0p2 Block Size (Ko),Disk mmcblk0 Transfers,Disk mmcblk0p1 Transfers,Disk mmcblk0p2 Transfers,JFS dev Usage (%),JFS run Usage (%),JFS Usage (%),JFS boot/firmware Usage (%),Memory Active (%),Memory Buffers (%),Memory Cached (%),Memory Inactive (%),Disk mmcblk1 Usage (%),Disk mmcblk1p1 Usage (%),Disk mmcblk1p2 Usage (%),Disk mmcblk1 Read (Ko/s),Disk mmcblk1p1 Read (Ko/s),Disk mmcblk1p2 Read (Ko/s),Disk mmcblk1 Write (Ko/s),Disk mmcblk1p1 Write (Ko/s),Disk mmcblk1p2 Write (Ko/s),Disk mmcblk1 Block Size (Ko),Disk mmcblk1p1 Block Size (Ko),Disk mmcblk1p2 Block Size (Ko),Disk mmcblk1 Transfers,Disk mmcblk1p1 Transfers,Disk mmcblk1p2 Transfers,Network (Ko/s),Disk Read (Mo/s),Disk Write (Mo/s),Encrypted Files,Encrypted Disk Usage (%),Encrypted Files Size (Mo),Encryption Speed (o/s)
Denial of Service,MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,40.21,,4.64,28.4,,,0.93,,,,,,,,,,,,10.37,29.82,0.03,2.66,0.0,44315.51,0.09,0.0,0.0,0.0,50.1,0.0,0.0,-11242.06,0.0,0.0,981.71,0.0,0.0,7651.49,,,,,,,,,,,,,,,,0.0,0.2,7.7,28.0,4.44,1.11,21.75,19.72,0.17,0.0,0.17,0.0,0.0,0.0,6.88,0.0,6.88,2.86,0.0,2.8,0.9,0.0,0.9,,,,,,,
Denial of Service,MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.22,,2.46,27.54,,,0.49,,,,,,,,,,,,0.1,0.06,0.05,1.01,0.0,51.69,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.04,0.0,0.0,0.02,,,,,,,,,,,,,,,,0.0,0.2,7.7,28.0,4.44,1.1,21.74,18.99,0.25,0.0,0.26,8.22,0.0,8.22,12.12,0.0,12.12,3.24,0.0,3.24,1.66,0.0,1.66,,,,,,,
Denial of Service,MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Recovery,0.07,,2.46,27.34,,,0.49,,,,,,,,,,,,0.01,0.03,0.03,1.0,0.0,42.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.02,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.2,7.7,28.0,4.46,1.11,21.75,18.98,0.12,0.0,0.12,0.0,0.0,0.0,5.76,0.0,5.76,2.9,0.0,2.9,0.63,0.0,0.63,,,,,,,
Denial of Service,MHDDoS (UDP),HOSAFE HX-2PT1,1,Attack,,,1.45,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (UDP),HOSAFE HX-2PT1,1,Idle,,,1.33,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (UDP),HOSAFE HX-2PT1,1,Recovery,,,1.25,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Attack,43.1,,3.55,8.33,,,0.71,,,,,,,,,,,,12.96,30.12,0.02,2.83,0.0,50633.4,0.06,0.0,3.14,0.0,0.01,-3.14,0.0,-0.06,5.61,0.0,0.07,5.61,0.0,1.5,,,,,,,,,,,,,,,,0.0,0.2,7.7,28.0,1.81,0.37,3.84,3.78,0.24,0.0,0.24,0.02,0.0,0.02,9.79,0.0,9.79,3.48,0.0,3.48,1.21,0.0,1.21,,,,,,,
Denial of Service,MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,0.17,,2.43,7.53,,,0.49,,,,,,,,,,,,0.09,0.05,0.03,1.0,0.0,51.37,0.02,0.0,0.0,0.0,0.01,-0.0,0.0,-0.0,0.02,0.0,0.09,0.02,0.0,0.09,,,,,,,,,,,,,,,,0.0,0.2,7.7,28.0,1.8,0.36,3.84,2.98,0.12,0.0,0.12,0.0,0.0,0.0,6.42,0.0,6.42,3.25,0.0,3.25,0.72,0.0,0.72,,,,,,,
Denial of Service,MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Recovery,0.08,,2.37,7.5,,,0.47,,,,,,,,,,,,0.02,0.03,0.02,1.0,0.0,48.54,0.04,0.0,0.16,0.0,0.01,-0.16,0.0,-0.01,0.29,0.0,0.13,0.29,0.0,0.08,,,,,,,,,,,,,,,,0.0,0.2,7.7,28.0,1.83,0.37,3.84,2.97,0.11,0.0,0.12,0.0,0.0,0.0,4.75,0.0,4.75,2.14,0.0,2.14,0.63,0.0,0.63,,,,,,,
Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,33.45,49.37,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
