Temps,Température (°C),Consommation (W),CPU (%),RAM (Mo),RAM (%)
00:00–04:59,50.1,2.3,15,188,13%
05:00–09:59,75.4,5.1,96,820,74%
10:00–14:59,54.9,2.6,23,215,17%
