Temps,Température (°C),Consommation (W),CPU (%),RAM (Mo),RAM (%)
00:00–04:59,48.4,2.0,11,176,10%
05:00–09:59,70.1,4.2,92,745,66%
10:00–14:59,52.8,2.2,18,201,14%
