Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-10 11:52:49;52,0 °C;65,0 °C;51,0 °C;54,0 °C;64,0 °C;16,2 W;11,7 W;0,0 W;10,2 %;48,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:52:51;52,0 °C;52,0 °C;50,0 °C;50,0 °C;56,0 °C;13,5 W;9,0 W;0,0 W;9,0 %;48,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:52:53;50,0 °C;51,0 °C;50,0 °C;52,0 °C;57,0 °C;15,4 W;10,7 W;0,0 W;8,9 %;48,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:52:55;52,0 °C;52,0 °C;51,0 °C;51,0 °C;57,0 °C;15,9 W;11,5 W;0,0 W;7,8 %;48,2 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:52:57;51,0 °C;51,0 °C;52,0 °C;51,0 °C;56,0 °C;15,4 W;10,9 W;0,0 W;14,0 %;47,9 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:52:59;51,0 °C;53,0 °C;51,0 °C;52,0 °C;57,0 °C;14,5 W;10,2 W;0,0 W;7,9 %;47,4 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:01;53,0 °C;50,0 °C;50,0 °C;50,0 °C;56,0 °C;14,2 W;9,7 W;0,1 W;4,5 %;47,4 %;56,0 °C;0,0 %;2,4 %
2025-06-10 11:53:03;52,0 °C;52,0 °C;51,0 °C;65,0 °C;65,0 °C;15,4 W;10,9 W;0,0 W;11,5 %;47,4 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:05;52,0 °C;51,0 °C;67,0 °C;52,0 °C;67,0 °C;11,2 W;6,8 W;0,1 W;11,3 %;47,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:07;50,0 °C;51,0 °C;52,0 °C;51,0 °C;56,0 °C;14,8 W;10,3 W;0,0 W;11,3 %;47,0 %;56,0 °C;0,0 %;2,4 %
2025-06-10 11:53:09;51,0 °C;50,0 °C;50,0 °C;50,0 °C;56,0 °C;14,7 W;10,0 W;0,0 W;7,0 %;47,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:11;70,0 °C;51,0 °C;56,0 °C;50,0 °C;68,0 °C;10,9 W;6,2 W;0,1 W;10,1 %;47,0 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:13;50,0 °C;51,0 °C;51,0 °C;51,0 °C;56,0 °C;14,5 W;9,9 W;0,0 W;7,6 %;47,0 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:15;50,0 °C;51,0 °C;50,0 °C;51,0 °C;57,0 °C;9,5 W;5,3 W;0,1 W;3,5 %;47,0 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:18;50,0 °C;51,0 °C;49,0 °C;51,0 °C;56,0 °C;14,2 W;9,5 W;0,0 W;9,9 %;47,0 %;56,0 °C;0,0 %;2,4 %
2025-06-10 11:53:20;51,0 °C;51,0 °C;50,0 °C;51,0 °C;56,0 °C;13,5 W;9,0 W;0,0 W;9,1 %;47,0 %;56,0 °C;0,0 %;2,4 %
2025-06-10 11:53:22;49,0 °C;50,0 °C;50,0 °C;50,0 °C;56,0 °C;14,7 W;10,0 W;0,0 W;8,2 %;46,4 %;56,0 °C;0,0 %;2,4 %
2025-06-10 11:53:24;54,0 °C;60,0 °C;52,0 °C;54,0 °C;58,0 °C;14,1 W;9,7 W;0,0 W;9,2 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:26;49,0 °C;50,0 °C;49,0 °C;51,0 °C;56,0 °C;7,9 W;3,1 W;0,1 W;8,7 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:28;58,0 °C;51,0 °C;53,0 °C;50,0 °C;58,0 °C;13,9 W;9,5 W;0,0 W;8,7 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:30;51,0 °C;63,0 °C;52,0 °C;54,0 °C;63,0 °C;13,8 W;9,2 W;0,0 W;10,7 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:32;52,0 °C;50,0 °C;50,0 °C;50,0 °C;56,0 °C;14,3 W;9,9 W;0,0 W;7,7 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:34;59,0 °C;51,0 °C;52,0 °C;51,0 °C;59,0 °C;15,7 W;11,2 W;0,0 W;8,5 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:36;51,0 °C;62,0 °C;50,0 °C;55,0 °C;61,0 °C;15,1 W;10,5 W;0,0 W;7,9 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:38;51,0 °C;51,0 °C;50,0 °C;50,0 °C;56,0 °C;13,5 W;8,9 W;0,0 W;8,2 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:40;51,0 °C;51,0 °C;49,0 °C;50,0 °C;57,0 °C;15,6 W;11,1 W;0,0 W;7,3 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:42;60,0 °C;51,0 °C;50,0 °C;50,0 °C;60,0 °C;15,5 W;11,0 W;0,0 W;9,4 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:44;49,0 °C;50,0 °C;50,0 °C;51,0 °C;56,0 °C;14,8 W;10,3 W;0,0 W;8,7 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:46;54,0 °C;53,0 °C;52,0 °C;52,0 °C;56,0 °C;15,3 W;10,8 W;0,0 W;7,0 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:48;50,0 °C;50,0 °C;51,0 °C;50,0 °C;56,0 °C;15,6 W;10,9 W;0,0 W;8,7 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:50;49,0 °C;51,0 °C;50,0 °C;51,0 °C;55,0 °C;14,8 W;10,3 W;0,0 W;7,9 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:52;50,0 °C;51,0 °C;50,0 °C;50,0 °C;55,0 °C;15,0 W;10,3 W;0,0 W;9,4 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:54;51,0 °C;52,0 °C;52,0 °C;51,0 °C;55,0 °C;15,2 W;10,8 W;0,0 W;10,7 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:53:56;52,0 °C;50,0 °C;54,0 °C;51,0 °C;56,0 °C;15,2 W;10,7 W;0,0 W;8,1 %;46,3 %;55,0 °C;0,0 %;2,4 %
2025-06-10 11:53:58;59,0 °C;51,0 °C;53,0 °C;50,0 °C;60,0 °C;14,1 W;9,7 W;0,0 W;8,4 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:00;50,0 °C;50,0 °C;49,0 °C;49,0 °C;56,0 °C;13,2 W;8,7 W;0,0 W;10,0 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:02;49,0 °C;50,0 °C;50,0 °C;50,0 °C;55,0 °C;14,8 W;10,4 W;0,0 W;8,1 %;46,4 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:04;49,0 °C;50,0 °C;50,0 °C;50,0 °C;56,0 °C;14,3 W;9,9 W;0,0 W;7,7 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:06;50,0 °C;50,0 °C;50,0 °C;50,0 °C;56,0 °C;15,0 W;10,6 W;0,0 W;8,5 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:08;49,0 °C;50,0 °C;49,0 °C;50,0 °C;55,0 °C;12,9 W;8,5 W;0,0 W;7,7 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:10;50,0 °C;50,0 °C;50,0 °C;50,0 °C;55,0 °C;15,0 W;10,6 W;0,0 W;8,3 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:12;51,0 °C;50,0 °C;52,0 °C;50,0 °C;55,0 °C;14,5 W;10,1 W;0,0 W;8,8 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:14;49,0 °C;49,0 °C;49,0 °C;50,0 °C;55,0 °C;7,2 W;2,5 W;0,1 W;2,7 %;46,4 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:16;49,0 °C;51,0 °C;52,0 °C;50,0 °C;57,0 °C;13,9 W;9,4 W;0,0 W;8,7 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:18;59,0 °C;50,0 °C;52,0 °C;50,0 °C;59,0 °C;13,5 W;9,1 W;0,0 W;9,5 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:20;49,0 °C;49,0 °C;49,0 °C;50,0 °C;55,0 °C;14,6 W;10,2 W;0,0 W;8,8 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:22;49,0 °C;50,0 °C;52,0 °C;49,0 °C;56,0 °C;15,0 W;10,5 W;0,0 W;11,6 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:24;60,0 °C;51,0 °C;53,0 °C;50,0 °C;59,0 °C;14,3 W;9,8 W;0,0 W;7,6 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:26;61,0 °C;50,0 °C;52,0 °C;50,0 °C;61,0 °C;14,7 W;9,9 W;0,0 W;10,1 %;46,4 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:28;62,0 °C;51,0 °C;52,0 °C;50,0 °C;62,0 °C;14,7 W;10,1 W;0,0 W;9,0 %;46,2 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:30;49,0 °C;50,0 °C;50,0 °C;50,0 °C;55,0 °C;14,7 W;10,3 W;0,0 W;12,3 %;46,2 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:32;50,0 °C;51,0 °C;52,0 °C;59,0 °C;59,0 °C;13,7 W;9,3 W;0,0 W;9,4 %;46,2 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:34;49,0 °C;50,0 °C;49,0 °C;50,0 °C;55,0 °C;13,5 W;9,2 W;0,0 W;6,9 %;46,2 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:36;58,0 °C;51,0 °C;52,0 °C;49,0 °C;58,0 °C;13,8 W;9,5 W;0,0 W;7,9 %;46,3 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:38;49,0 °C;51,0 °C;49,0 °C;60,0 °C;60,0 °C;15,5 W;10,8 W;0,0 W;8,4 %;46,2 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:40;49,0 °C;52,0 °C;50,0 °C;50,0 °C;55,0 °C;14,4 W;9,9 W;0,0 W;7,4 %;46,2 %;0,0 °C;0,0 %;2,4 %
