Timestamp,Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
01:03:45.000,17.2,225.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:03:50.000,17.8,230.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:03:55.000,17.2,235.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:04:00.000,16.6,240.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:04:05.000,16.9,245.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:04:10.000,17.8,250.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:04:15.000,19.0,255.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:04:20.000,17.2,260.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:04:25.000,16.9,265.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:04:30.000,16.0,270.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:04:35.000,16.6,275.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:04:40.000,16.6,280.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:04:45.000,18.1,285.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:04:50.000,17.2,290.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:04:55.000,16.9,295.0,Idle_browser_open,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:05:00.000,20.0,300.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:05:05.000,24.5,305.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:05:10.000,59.6,310.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:05:15.000,60.6,315.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:05:20.000,61.2,320.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:05:25.000,61.5,325.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:05:30.000,61.8,330.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:05:35.000,62.1,335.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:05:40.000,62.7,340.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:05:45.000,63.0,345.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:05:50.000,63.3,350.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:05:55.000,63.6,355.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:06:00.000,63.9,360.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:06:05.000,64.5,365.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:06:10.000,64.2,370.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:06:15.000,64.5,375.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:06:20.000,64.8,380.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:06:25.000,64.2,385.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:06:30.000,64.8,390.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:06:35.000,64.2,395.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:06:40.000,64.8,400.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:06:45.000,64.8,405.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:06:50.000,65.1,410.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:06:55.000,65.1,415.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:07:00.000,64.8,420.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:07:05.000,65.1,425.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:07:10.000,64.8,430.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:07:15.000,64.8,435.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:07:20.000,64.8,440.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:07:25.000,65.1,445.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:07:30.000,65.1,450.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:07:35.000,64.8,455.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:07:40.000,64.8,460.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:07:45.000,65.1,465.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:07:50.000,65.4,470.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:07:55.000,65.1,475.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:08:00.000,65.4,480.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:08:05.000,65.1,485.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:08:10.000,64.8,490.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:08:15.000,64.5,495.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:08:20.000,65.1,500.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:08:25.000,65.1,505.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:08:30.000,65.1,510.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:08:35.000,64.8,515.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:08:40.000,64.8,520.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:08:45.000,65.4,525.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:08:50.000,64.8,530.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:08:55.000,65.4,535.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:09:00.000,65.1,540.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:09:05.000,65.1,545.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:09:10.000,65.1,550.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:09:15.000,64.8,555.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:09:20.000,65.4,560.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:09:25.000,65.4,565.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
